"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 48% of requested data were available from station Shasta_College.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          359          342           18           12            0        "
"                     Shasta_Colleûge.A         GERBER.A     MCARTHUR.A   REDDING.C    "
"Air Temps, max/min     334          361            0           36            0        "
"                     Shasta_Colleûge.A         MCARTHUR.A   BURNEY.C     REDDING.C    "
"Soil Temps, max/min    315            0            0          416            0        "
"                     Shasta_Colleûge.A         none         none         MCARTHUR.A   "
"Rel. Humidity          358            0            0            0          373        "
"                     Shasta_Colleûge.A         none         none         none         "
"ETo                    363            0            0            0          368        "
"                     Shasta_Colleûge.A         none         none         none         "
"Solar Radiation        352          341           21           17            0        "
"                     Shasta_Colleûge.A         GERBER.A     MCARTHUR.A   MCARTHUR.A   "
"Wind Speed & Dir       355            0            0            0          376        "
"                     Shasta_Colleûge.A         none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Shasta_College.A,20130810,2359,0.000,,25.0,5.0,,,,,,,20.0,18.3,,308,,,
Shasta_College.A,20130811,2359,0.000,,27.2,6.7,,,,,,,20.0,17.8,,312,,,
Shasta_College.A,20130812,2359,0.000,,27.8,6.7,,,,,,,20.0,18.3,,307,,,
Shasta_College.A,20130813,2359,0.000,,30.0,5.6,,,,,,,20.0,18.3,,319,,,
Shasta_College.A,20130814,2359,0.000,,30.0,4.4,,,,,,,20.0,18.3,,315,,,
Shasta_College.A,20130815,2359,0.000,,30.0,6.1,,,,,,,20.0,18.3,,307,,,
Shasta_College.A,20130816,2359,0.000,,30.0,6.7,,,,,,,20.0,18.3,,309,,,
Shasta_College.A,20130817,2359,0.000,,31.1,7.8,,,,,,,19.4,17.8,,305,,,
Shasta_College.A,20130818,2359,0.000,,36.1,12.2,,,,,,,19.4,17.8,,289,,,
Shasta_College.A,20130819,2359,0.000,,35.6,11.7,,,,,,,19.4,17.8,,208,,,
Shasta_College.A,20130820,2359,0.254,,29.4,13.3,,,,,,,19.4,17.8,,185,,,
Shasta_College.A,20130821,2359,0.000,,32.2,11.1,,,,,,,19.4,17.8,,275,,,
Shasta_College.A,20130822,2359,0.000,,28.3,11.1,,,,,,,19.4,17.2,,274,,,
Shasta_College.A,20130823,2359,0.000,,28.3,6.7,,,,,,,18.9,17.2,,296,,,
Shasta_College.A,20130824,2359,0.000,,26.7,7.2,,,,,,,18.9,17.2,,262,,,
Shasta_College.A,20130825,2359,0.000,,25.0,8.9,,,,,,,18.9,17.2,,268,,,
Shasta_College.A,20130826,2359,0.000,,25.0,6.7,,,,,,,18.9,17.2,,294,,,
Shasta_College.A,20130827,2359,0.000,,27.8,3.3,,,,,,,18.9,17.2,,295,,,
Shasta_College.A,20130828,2359,0.000,,27.8,4.4,,,,,,,18.9,17.2,,289,,,
Shasta_College.A,20130829,2359,0.000,,27.2,6.1,,,,,,,18.9,17.2,,285,,,
Shasta_College.A,20130830,2359,0.000,,29.4,6.7,,,,,,,18.9,17.2,,285,,,
Shasta_College.A,20130831,2359,0.000,,30.0,6.1,,,,,,,18.9,16.7,,288,,,
Shasta_College.A,20130901,2359,0.000,,28.9,5.6,,,,,,,18.3,16.7,,163,,,
Shasta_College.A,20130902,2359,0.000,,26.1,9.4,,,,,,,18.3,16.7,,278,,,
Shasta_College.A,20130903,2359,0.000,,25.6,5.0,,,,,,,18.3,16.7,,277,,,
Shasta_College.A,20130904,2359,0.000,,26.7,5.6,,,,,,,18.3,16.7,,276,,,
Shasta_College.A,20130905,2359,0.000,,23.3,4.4,,,,,,,18.3,16.7,,270,,,
Shasta_College.A,20130906,2359,0.000,,28.3,4.4,,,,,,,17.8,16.1,,278,,,
Shasta_College.A,20130907,2359,0.000,,28.9,4.4,,,,,,,17.8,16.1,,273,,,
Shasta_College.A,20130908,2359,0.000,,31.7,5.6,,,,,,,17.8,16.1,,274,,,
Shasta_College.A,20130909,2359,0.000,,32.2,9.4,,,,,,,17.8,16.1,,260,,,
Shasta_College.A,20130910,2359,0.000,,32.2,6.7,,,,,,,17.8,16.1,,263,,,
Shasta_College.A,20130911,2359,0.000,,33.3,7.2,,,,,,,17.2,16.1,,255,,,
Shasta_College.A,20130912,2359,0.000,,33.3,13.3,,,NE,1,,,24.4,23.3,,215,4.061,88.1,28.0
Shasta_College.A,20130913,2359,0.000,,35.6,14.4,,,NE,1,,,25.6,23.3,,235,4.822,87.1,23.7
Shasta_College.A,20130914,2359,0.000,,35.6,15.0,,,NE,1,,,26.1,22.8,,237,4.569,87.8,25.9
Shasta_College.A,20130915,2359,0.000,,29.4,13.3,,,NE,2,,,25.6,22.8,,246,4.822,90.4,25.8
Shasta_College.A,20130916,2359,0.000,,31.7,10.6,,,NE,1,,,24.4,21.7,,240,4.569,87.0,20.2
Shasta_College.A,20130917,2359,0.000,,19.4,3.3,,,,,,,16.1,15.0,,243,,,
Shasta_College.A,20130918,2359,0.000,,22.8,1.7,,,,,,,16.1,14.4,,253,,,
Shasta_College.A,20130919,2359,0.000,,27.8,-0.6,,,,,,,16.1,14.4,,249,,,
Shasta_College.A,20130920,2359,1.015,,24.4,-0.6,,,,,,,16.1,14.4,,211,,,
Shasta_College.A,20130921,2359,10.91,,13.3,3.9,,,,,,,16.7,15.0,,95,,,
Shasta_College.A,20130922,2359,0.254,,16.1,6.1,,,,,,,16.1,14.4,,193,,,
Shasta_College.A,20130923,2359,0.000,,20.6,8.3,,,,,,,16.1,14.4,,235,,,
Shasta_College.A,20130924,2359,0.000,,18.3,6.1,,,,,,,15.6,14.4,,198,,,
Shasta_College.A,20130925,2359,0.000,,13.3,2.2,,,,,,,15.6,13.9,,241,,,
Shasta_College.A,20130926,2359,0.000,,15.0,-1.7,,,,,,,15.6,13.9,,237,,,
Shasta_College.A,20130927,2359,0.000,,18.9,-3.3,,,,,,,15.6,13.9,,232,,,
Shasta_College.A,20130928,2359,0.000,,19.4,1.7,,,,,,,15.6,13.9,,171,,,
Shasta_College.A,20130929,2359,0.000,,18.3,10.6,,,,,,,15.6,13.9,,99,,,
Shasta_College.A,20130930,2359,0.000,,18.9,9.4,,,,,,,15.0,13.9,,164,,,
Shasta_College.A,20131001,2359,0.000,,18.9,5.6,,,,,,,15.0,13.3,,215,,,
Shasta_College.A,20131002,2359,0.000,,18.3,1.1,,,,,,,15.0,13.3,,216,,,
Shasta_College.A,20131003,2359,0.000,,14.4,-3.9,,,,,,,15.0,13.3,,221,,,
Shasta_College.A,20131004,2359,0.000,,19.4,0.6,,,,,,,14.4,13.3,,221,,,
Shasta_College.A,20131005,2359,0.000,,25.0,-1.7,,,,,,,14.4,12.8,,220,,,
Shasta_College.A,20131006,2359,0.000,,23.3,-3.3,,,,,,,14.4,12.8,,193,,,
