"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station DIXON.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          717            0            5            9            0        "
"                     DIXON.A      HASTINGS.A   DAVIS.A      VACAVLLE.C   "
"Air Temps, max/min     695            0           27            9            0        "
"                     DIXON.A      HASTINGS.A   DAVIS.A      VACAVLLE.C   "
"Soil Temps, max/min    697            0           25            9            0        "
"                     DIXON.A      HASTINGS.A   DAVIS.A      DAVIS.A      "
"Rel. Humidity          710            0            0            0           21        "
"                     DIXON.A      none         none         none         "
"ETo                    717            0            0            0           14        "
"                     DIXON.A      none         none         none         "
"Solar Radiation        691            0           22           18            0        "
"                     DIXON.A      HASTINGS.A   DAVIS.A      DAVIS.A      "
"Wind Speed & Dir       709            0            0            0           22        "
"                     DIXON.A      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DIXON.A,20130810,2359,0.000,,27.8,11.1,,,0,0,,,22.2,20.6,,305,5.584,97.0,49.0
DIXON.A,20130811,2359,0.000,,29.4,10.6,,,0,0,,,23.9,20.6,,307,5.838,99.0,42.0
DIXON.A,20130812,2359,0.000,,30.0,11.7,,,0,0,,,23.3,22.2,,313,5.838,97.0,31.0
DIXON.A,20130813,2359,0.000,,33.3,9.4,,,0,0,,,22.8,21.1,,314,5.838,97.0,25.0
DIXON.A,20130814,2359,0.000,,31.7,13.3,,,0,0,,,23.3,21.7,,311,6.345,87.0,36.0
DIXON.A,20130815,2359,0.000,,32.2,15.0,,,0,0,,,23.3,21.7,,310,6.091,96.0,42.0
DIXON.A,20130816,2359,0.000,,33.3,13.3,,,0,0,,,23.9,22.2,,299,6.091,99.0,40.0
DIXON.A,20130817,2359,0.000,,31.7,15.0,,,0,0,,,23.9,22.2,,205,4.315,91.0,43.0
DIXON.A,20130818,2359,0.000,,36.1,13.3,,,0,0,,,23.9,22.2,,286,5.584,96.0,34.0
DIXON.A,20130819,2359,0.000,,38.3,16.7,,,0,0,,,24.4,22.8,,204,4.315,91.0,31.0
DIXON.A,20130820,2359,0.000,,30.6,17.2,,,0,0,,,24.4,22.8,,272,6.091,82.0,46.0
DIXON.A,20130821,2359,0.000,,29.4,14.4,,,0,0,,,23.9,22.2,,293,6.345,87.0,38.0
DIXON.A,20130822,2359,0.000,,26.7,13.3,,,0,0,,,22.8,21.7,,298,6.091,88.0,47.0
DIXON.A,20130823,2359,0.000,,28.9,10.6,,,0,0,,,22.8,20.6,,293,5.584,97.0,41.0
DIXON.A,20130824,2359,0.000,,29.4,13.3,,,0,0,,,22.8,21.1,,287,6.091,91.0,41.0
DIXON.A,20130825,2359,0.000,,27.8,15.6,,,0,0,,,22.8,21.7,,279,5.584,92.0,51.0
DIXON.A,20130826,2359,0.000,,29.4,13.9,,,0,0,,,22.8,21.7,,290,5.330,95.0,40.0
DIXON.A,20130827,2359,0.000,,30.6,11.1,,,0,0,,,22.2,21.7,,286,5.584,95.0,35.0
DIXON.A,20130828,2359,0.000,,31.1,13.3,,,0,0,,,22.8,21.7,,286,5.584,95.0,39.0
DIXON.A,20130829,2359,0.000,,30.6,13.3,,,0,0,,,22.8,21.7,,284,5.584,98.0,49.0
DIXON.A,20130830,2359,0.000,,33.9,12.2,,,0,0,,,23.3,22.2,,280,5.330,99.0,36.0
DIXON.A,20130831,2359,0.000,,30.0,13.3,,,0,0,,,23.3,22.2,,267,6.091,96.0,36.0
DIXON.A,20130901,2359,0.000,,29.4,15.6,,,0,0,,,22.8,21.7,,217,5.076,83.0,39.0
