"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 95% of requested data were available from station WINTERS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          709           11            2            9            0        "
"                     WINTERS.A    DIXON.A      DAVIS.A      WINTERS.C    "
"Air Temps, max/min     683           32            7            9            0        "
"                     WINTERS.A    DIXON.A      DAVIS.A      WINTERS.C    "
"Soil Temps, max/min    687           31            4            9            0        "
"                     WINTERS.A    DIXON.A      DAVIS.A      DAVIS.A      "
"Rel. Humidity          704            0            0            0           27        "
"                     WINTERS.A    none         none         none         "
"Solar Radiation        676           33            4            0           18        "
"                     WINTERS.A    DIXON.A      DAVIS.A      DAVIS.C      "
"Wind Speed & Dir       701            0            0            0           30        "
"                     WINTERS.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
WINTERS.A,20130810,2359,0.000,,31.1,11.7,,,0,0,,,24.4,22.8,,282,,85.0,30.0
WINTERS.A,20130811,2359,0.000,,32.2,11.7,,,0,0,,,25.0,23.3,,286,,91.0,25.0
WINTERS.A,20130812,2359,0.000,,32.8,11.1,,,0,0,,,25.0,23.3,,289,,90.0,24.0
WINTERS.A,20130813,2359,0.000,,35.0,11.1,,,0,0,,,25.0,23.3,,294,,89.0,18.0
WINTERS.A,20130814,2359,0.000,,35.0,12.2,,,0,0,,,25.0,23.3,,285,,88.0,22.0
WINTERS.A,20130815,2359,0.000,,36.1,13.9,,,0,0,,,25.0,23.9,,284,,88.0,19.0
WINTERS.A,20130816,2359,0.000,,36.1,15.6,,,0,0,,,25.6,23.9,,267,,87.0,25.0
WINTERS.A,20130817,2359,0.000,,32.2,15.0,,,0,0,,,25.0,24.4,,173,,85.0,30.0
WINTERS.A,20130818,2359,0.000,,37.2,14.4,,,0,0,,,25.6,23.9,,252,,90.0,29.0
WINTERS.A,20130819,2359,0.000,,37.2,18.9,,,0,0,,,26.1,25.0,,189,,79.0,26.0
WINTERS.A,20130820,2359,0.000,,34.4,18.9,,,0,0,,,26.7,25.0,,252,,74.0,32.0
WINTERS.A,20130821,2359,0.000,,33.9,16.1,,,0,0,,,26.1,24.4,,274,,75.0,16.0
WINTERS.A,20130822,2359,0.000,,32.8,13.3,,,0,0,,,25.0,23.9,,279,,74.0,23.0
WINTERS.A,20130823,2359,0.000,,28.9,10.6,,,0,0,,,22.8,20.6,,293,,87.0,24.0
WINTERS.A,20130824,2359,0.000,,32.2,12.8,,,0,0,,,24.4,23.3,,270,,82.0,26.0
WINTERS.A,20130825,2359,0.000,,29.4,15.6,,,0,0,,,24.4,23.9,,266,,74.0,35.0
WINTERS.A,20130826,2359,0.000,,30.0,13.3,,,0,0,,,24.4,23.3,,273,,81.0,30.0
WINTERS.A,20130827,2359,0.000,,33.3,11.7,,,0,0,,,24.4,23.3,,274,,88.0,13.0
WINTERS.A,20130828,2359,0.000,,33.9,17.2,,,0,0,,,24.4,23.3,,268,,77.0,25.0
WINTERS.A,20130829,2359,0.000,,34.4,13.9,,,0,0,,,25.0,23.3,,267,,89.0,22.0
WINTERS.A,20130830,2359,0.000,,35.0,14.4,,,0,0,,,25.0,23.3,,265,,88.0,28.0
WINTERS.A,20130831,2359,0.000,,36.1,13.9,,,0,0,,,25.6,23.9,,264,,82.0,14.0
WINTERS.A,20130901,2359,0.000,,33.3,16.1,,,0,0,,,25.0,24.4,,212,,65.0,21.0
WINTERS.A,20130902,2359,0.000,,31.7,17.8,,,0,0,,,25.0,23.9,,225,,65.0,30.0
WINTERS.A,20130903,2359,0.000,,31.1,15.6,,,0,0,,,25.0,23.9,,262,,80.0,21.0
WINTERS.A,20130904,2359,0.000,,28.9,12.8,,,0,0,,,23.9,22.2,,271,,81.0,27.0
WINTERS.A,20130905,2359,0.000,,32.2,12.8,,,0,0,,,24.4,23.3,,265,,80.0,19.0
WINTERS.A,20130906,2359,0.000,,32.2,11.7,,,0,0,,,24.4,22.8,,264,,85.0,16.0
WINTERS.A,20130907,2359,0.000,,35.6,12.8,,,0,0,,,24.4,22.8,,259,,74.0,21.0
WINTERS.A,20130908,2359,0.000,,36.1,13.3,,,0,0,,,25.0,23.3,,255,,81.0,17.0
WINTERS.A,20130909,2359,0.000,,37.8,14.4,,,0,0,,,25.0,23.3,,250,,,
WINTERS.A,20130910,2359,0.000,,34.4,14.4,,,0,0,,,25.0,23.9,,244,,81.0,26.0
WINTERS.A,20130911,2359,0.000,,28.9,15.0,,,0,0,,,23.9,22.8,,220,,79.0,40.0
WINTERS.A,20130912,2359,0.000,,31.7,14.4,,,0,0,,,23.9,22.8,,238,,87.0,35.0
WINTERS.A,20130913,2359,0.000,,34.4,13.9,,,NE,1,,,24.4,22.8,,232,,89.8,30.3
WINTERS.A,20130914,2359,0.000,,33.3,12.2,,,SW,1,,,24.4,23.3,,231,,89.9,32.0
WINTERS.A,20130915,2359,0.000,,31.1,10.0,,,SW,2,,,24.4,23.3,,247,,87.6,21.9
WINTERS.A,20130916,2359,0.000,,30.6,13.9,,,0,0,,,23.9,22.8,,238,,82.0,33.0
WINTERS.A,20130917,2359,0.000,,28.3,13.3,,,0,0,,,23.9,22.8,,235,,75.0,28.0
WINTERS.A,20130918,2359,0.000,,30.0,15.0,,,0,0,,,23.3,22.2,,241,,56.0,16.0
