"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station PETALUMA_EAST.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          701           20            0           10            0        "
"                     PETALUMA_EASûT.A          SNTAROSA.A   none         SNTAROSA.C   "
"Air Temps, max/min     671           48            0           12            0        "
"                     PETALUMA_EASûT.A          SNTAROSA.A   none         SNTAROSA.C   "
"Soil Temps, max/min    674           44            0           13            0        "
"                     PETALUMA_EASûT.A          SNTAROSA.A   none         WINDSOR.A    "
"Rel. Humidity          691            0            0            0           40        "
"                     PETALUMA_EASûT.A          none         none         none         "
"ETo                    702            0            0            0           29        "
"                     PETALUMA_EASûT.A          none         none         none         "
"Solar Radiation        677           39            0           15            0        "
"                     PETALUMA_EASûT.A          SNTAROSA.A   none         WINDSOR.A    "
"Wind Speed & Dir       694            0            0            0           37        "
"                     PETALUMA_EASûT.A          none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PETALUMA_EAST.A,20130810,2359,0.000,,22.8,12.8,,,0,0,,,22.8,21.1,,256,4.061,99.0,60.0
PETALUMA_EAST.A,20130811,2359,0.000,,23.3,11.7,,,0,0,,,22.8,21.1,,273,4.315,100.0,59.0
PETALUMA_EAST.A,20130812,2359,0.000,,26.1,11.7,,,0,0,,,23.3,21.7,,270,4.569,100.0,48.0
PETALUMA_EAST.A,20130813,2359,0.000,,29.4,11.1,,,0,0,,,23.3,21.7,,284,5.076,100.0,41.0
PETALUMA_EAST.A,20130814,2359,0.000,,28.9,8.3,,,0,0,,,22.8,21.1,,290,5.076,96.0,35.0
PETALUMA_EAST.A,20130815,2359,0.000,,30.0,8.9,,,0,0,,,23.9,21.7,,286,4.822,100.0,57.0
PETALUMA_EAST.A,20130816,2359,0.000,,28.9,11.7,,,0,0,,,23.3,21.7,,280,5.076,100.0,50.0
PETALUMA_EAST.A,20130817,2359,0.000,,27.8,10.0,,,0,0,,,22.8,21.7,,214,3.807,100.0,44.0
PETALUMA_EAST.A,20130818,2359,0.000,,30.6,10.6,,,0,0,,,22.8,21.1,,247,4.569,99.0,41.0
PETALUMA_EAST.A,20130819,2359,0.000,,30.0,13.3,,,0,0,,,23.3,21.7,,218,4.061,96.0,45.0
PETALUMA_EAST.A,20130820,2359,0.000,,29.4,14.4,,,0,0,,,23.9,22.2,,246,4.315,97.0,41.0
PETALUMA_EAST.A,20130821,2359,0.000,,24.4,11.7,,,0,0,,,23.3,22.2,,239,4.061,93.0,54.0
PETALUMA_EAST.A,20130822,2359,0.000,,21.1,12.8,,,0,0,,,22.8,21.7,,219,3.553,97.0,61.0
PETALUMA_EAST.A,20130823,2359,0.000,,24.4,11.7,,,0,0,,,22.8,21.1,,259,4.061,94.0,57.0
PETALUMA_EAST.A,20130824,2359,0.000,,23.9,10.6,,,0,0,,,22.2,21.1,,240,4.061,98.0,56.0
PETALUMA_EAST.A,20130825,2359,0.000,,25.6,13.9,,,0,0,,,22.8,21.1,,246,4.315,98.0,62.0
PETALUMA_EAST.A,20130826,2359,0.000,,23.9,11.7,,,0,0,,,23.3,21.7,,252,4.315,98.0,54.0
PETALUMA_EAST.A,20130827,2359,0.000,,28.9,11.7,,,0,0,,,23.9,21.7,,321,4.569,99.0,43.0
PETALUMA_EAST.A,20130828,2359,0.000,,25.6,13.3,,,0,0,,,22.8,21.1,,245,4.061,100.0,63.0
