University of California Statewide Integrated Pest Management Program
How to Manage Pests California Weather Data
Retrieve data in comma delimited data file format
 
Weather database request  
 
Time Period August 10, 2013 to August 10, 2015, retrieved on August 11, 2015
 (731 days)
 
To save this text, you can
Select SAVE AS and TEXT from the top menu of your browser, or
copy and paste the data to a new document in a word processor
and save it as text.
 
Note Only 84% of requested data were available from station WINDSOR.A.    See Retrieval Table.
 
                     Retrieval Table
                     Stations used to fill in missing data
 
                     Data Values  Data Values  Data Values  Data Values  Data Values
                        from         from         from         from        Missing
Variable             Station      Backup 1     Backup 2     Averages
Precipitation          720            1            0           10            0        
                     WINDSOR.A    SNTAROSA.A   BENNETT_VALLûEY.A         HELDSBRG.C   
Air Temps, maxmin     714            6            1           10            0        
                     WINDSOR.A    SNTAROSA.A   BENNETT_VALLûEY.A         WINDSOR.A    
Soil Temps, maxmin    718            3            0           10            0        
                     WINDSOR.A    SNTAROSA.A   BENNETT_VALLûEY.A         WINDSOR.A    
Rel. Humidity          709            0            0            0           22        
                     WINDSOR.A    none         none         none         
ETo                      0            0            0            0          731        
                     WINDSOR.A    none         none         none         
Solar Radiation        715            2            0           14            0        
                     WINDSOR.A    SNTAROSA.A   BENNETT_VALLûEY.A         WINDSOR.A    
Wind Speed & Dir       712            0            0            0           19        
                     WINDSOR.A    none         none         none         
 
Variable   Description                   Units
   1       Database name                 
   2       Date year,month,day          yyyymmdd
   3       Observation time              hhmm
   4       Precipitation, amount         Millimeters
   5       Precipitation, type           (coded)
   6       Air temperature, maximum      Celsius
   7       Air temperature, minimum      Celsius
   8       Air temperature, observed     Celsius
   9       Weather conditions            (coded)
  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm
  11       Wind, speed                   Meters per second
  12       Bulb temperature, wet         Celsius
  13       Bulb temperature, dry         Celsius
  14       Soil temperature, maximum     Celsius
  15       Soil temperature, minimum     Celsius
  16       Pan evaporation               Millimeters
  17       Solar radiation               Watts per sq. meters
  18       Reference evapotranspiration  Millimeters
  19       Relative humidity, minimum    Percent
  20       Relative humidity, maximum    Percent
 
Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
WINDSOR.A,20130810,2359,0.000,,26.1,12.8,,,0,0,,,20.6,18.9,,237,,96.0,51.0
WINDSOR.A,20130811,2359,0.000,,26.7,11.7,,,0,0,,,21.1,19.4,,268,,98.0,47.0
WINDSOR.A,20130812,2359,0.000,,27.8,10.0,,,0,0,,,21.1,19.4,,267,,99.0,38.0
WINDSOR.A,20130813,2359,0.000,,34.4,10.6,,,0,0,,,21.7,19.4,,295,,97.0,22.0
WINDSOR.A,20130814,2359,0.000,,34.4,6.7,,,0,0,,,21.7,18.9,,300,,97.0,25.0
WINDSOR.A,20130815,2359,0.000,,32.8,9.4,,,0,0,,,22.2,19.4,,296,,98.0,39.0
WINDSOR.A,20130816,2359,0.000,,33.3,11.1,,,0,0,,,22.8,20.6,,286,,99.0,29.0
WINDSOR.A,20130817,2359,0.000,,32.2,8.9,,,0,0,,,22.2,20.0,,238,,98.0,33.0
WINDSOR.A,20130818,2359,0.000,,35.6,10.6,,,0,0,,,22.8,20.0,,272,,96.0,29.0
WINDSOR.A,20130819,2359,0.000,,31.1,12.8,,,0,0,,,22.2,21.1,,158,,94.0,38.0
WINDSOR.A,20130820,2359,0.000,,28.3,13.9,,,0,0,,,22.2,20.6,,232,,94.0,41.0
WINDSOR.A,20130821,2359,0.000,,25.6,10.0,,,0,0,,,21.7,20.6,,234,,94.0,47.0
WINDSOR.A,20130822,2359,0.000,,25.0,9.4,,,0,0,,,21.1,20.0,,235,,97.0,50.0
WINDSOR.A,20130823,2359,0.000,,27.2,9.4,,,0,0,,,21.7,20.0,,262,,96.0,46.0
WINDSOR.A,20130824,2359,0.000,,31.1,7.2,,,0,0,,,21.7,19.4,,264,,98.0,36.0
WINDSOR.A,20130825,2359,0.000,,27.2,12.8,,,0,0,,,22.2,20.0,,268,,95.0,49.0
WINDSOR.A,20130826,2359,0.000,,29.4,11.1,,,0,0,,,22.2,20.6,,266,,98.0,35.0
WINDSOR.A,20130827,2359,0.000,,32.2,7.2,,,0,0,,,22.2,20.0,,284,,97.0,28.0
WINDSOR.A,20130828,2359,0.000,,30.0,11.7,,,0,0,,,22.8,20.6,,256,,99.0,45.0
WINDSOR.A,20130829,2359,0.000,,31.7,13.3,,,0,0,,,22.8,21.1,,251,,97.0,41.0
WINDSOR.A,20130830,2359,0.000,,35.6,11.1,,,0,0,,,23.3,20.6,,274,,98.0,25.0
WINDSOR.A,20130831,2359,0.000,,31.1,8.9,,,0,0,,,22.8,20.6,,279,,97.0,31.0
WINDSOR.A,20130901,2359,0.000,,29.4,11.7,,,0,0,,,22.8,20.6,,254,,99.0,37.0
WINDSOR.A,20130902,2359,0.000,,29.4,10.0,,,0,0,,,22.8,20.6,,266,,98.0,42.0
WINDSOR.A,20130903,2359,0.000,,28.9,9.4,,,0,0,,,22.8,20.6,,267,,99.0,34.0
WINDSOR.A,20130904,2359,0.000,,30.0,7.8,,,0,0,,,22.8,20.0,,266,,99.0,37.0
WINDSOR.A,20130905,2359,0.000,,31.1,7.8,,,0,0,,,22.2,20.0,,268,,98.0,24.0
WINDSOR.A,20130906,2359,0.000,,35.0,8.3,,,0,0,,,22.8,20.6,,269,,94.0,18.0
