"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station Denair_II.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          707           14            0           10            0        "
"                     Denair_II.A  MODESTO.A    KESTERSN.A   MDESTO.C     "
"Air Temps, max/min     691           28            0           12            0        "
"                     Denair_II.A  MODESTO.A    KESTERSN.A   MDESTO.C     "
"Soil Temps, max/min    633           85            3            0           10        "
"                     Denair_II.A  MODESTO.A    KESTERSN.A   none         "
"Rel. Humidity          693            0            0            0           38        "
"                     Denair_II.A  none         none         none         "
"ETo                    707            0            0            0           24        "
"                     Denair_II.A  none         none         none         "
"Solar Radiation        701           17            0           13            0        "
"                     Denair_II.A  MODESTO.A    KESTERSN.A   KESTERSN.A   "
"Wind Speed & Dir       699            0            0            0           32        "
"                     Denair_II.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Denair_II.A,20130810,2359,0.000,,29.4,13.9,,,0,0,,,23.3,22.2,,301,5.838,89.0,42.0
Denair_II.A,20130811,2359,0.000,,30.6,15.0,,,0,0,,,23.3,22.2,,299,6.091,89.0,38.0
Denair_II.A,20130812,2359,0.000,,31.7,16.7,,,0,0,,,23.3,22.2,,302,6.345,85.0,28.0
Denair_II.A,20130813,2359,0.000,,32.8,16.7,,,0,0,,,23.3,22.2,,302,6.345,80.0,29.0
Denair_II.A,20130814,2359,0.000,,33.3,16.7,,,0,0,,,23.3,22.2,,306,6.599,80.0,27.0
Denair_II.A,20130815,2359,0.000,,33.3,16.7,,,0,0,,,23.3,22.2,,304,6.345,86.0,33.0
Denair_II.A,20130816,2359,0.000,,33.9,20.6,,,0,0,,,23.9,22.8,,300,6.853,85.0,32.0
Denair_II.A,20130817,2359,0.000,,32.8,18.3,,,0,0,,,23.9,22.8,,279,6.599,69.0,33.0
Denair_II.A,20130818,2359,0.000,,35.0,19.4,,,0,0,,,23.9,22.8,,240,4.822,83.0,33.0
Denair_II.A,20130819,2359,1.015,,37.2,20.6,,,0,0,,,24.4,22.8,,268,6.091,87.0,31.0
Denair_II.A,20130820,2359,0.000,,33.3,20.0,,,0,0,,,25.0,23.9,,282,6.345,72.0,38.0
Denair_II.A,20130821,2359,0.000,,33.3,17.2,,,0,0,,,24.4,23.3,,292,6.091,75.0,32.0
Denair_II.A,20130822,2359,0.000,,30.0,14.4,,,0,0,,,24.4,22.8,,288,5.838,86.0,39.0
Denair_II.A,20130823,2359,0.000,,30.0,13.9,,,0,0,,,24.4,22.8,,292,5.584,87.0,36.0
Denair_II.A,20130824,2359,0.000,,31.1,13.9,,,0,0,,,23.9,22.8,,286,6.091,83.0,32.0
Denair_II.A,20130825,2359,0.000,,33.3,16.1,,,0,0,,,24.4,22.8,,277,5.330,88.0,35.0
Denair_II.A,20130826,2359,0.000,,29.4,16.1,,,0,0,,,24.4,23.3,,283,5.584,85.0,37.0
Denair_II.A,20130827,2359,0.000,,32.2,14.4,,,0,0,,,24.4,22.8,,272,5.838,82.0,35.0
Denair_II.A,20130828,2359,0.000,,31.7,16.7,,,0,0,,,25.0,23.3,,278,5.838,78.0,35.0
Denair_II.A,20130829,2359,0.000,,31.1,16.1,,,0,0,,,25.0,23.3,,279,5.838,89.0,36.0
