"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station MODESTO.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            3            0           10            0        "
"                     MODESTO.A    MANTECA.A    MDESTO.C     MODESTO.A    "
"Air Temps, max/min     712            2            0           17            0        "
"                     MODESTO.A    MANTECA.A    MDESTO.C     MODESTO.A    "
"Soil Temps, max/min    717            4            0            0           10        "
"                     MODESTO.A    MANTECA.A    none         none         "
"Rel. Humidity          714            0            0            0           17        "
"                     MODESTO.A    none         none         none         "
"ETo                    720            0            0            0           11        "
"                     MODESTO.A    none         none         none         "
"Solar Radiation        710            5            0           16            0        "
"                     MODESTO.A    MANTECA.A    none         MODESTO.A    "
"Wind Speed & Dir       712            0            0            0           19        "
"                     MODESTO.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MODESTO.A,20130810,2359,0.000,,28.9,13.3,,,0,0,,,21.1,16.7,,300,5.838,89.0,41.0
MODESTO.A,20130811,2359,0.000,,30.0,12.2,,,0,0,,,20.6,19.4,,300,5.838,91.0,37.0
MODESTO.A,20130812,2359,0.000,,31.1,12.2,,,0,0,,,20.6,19.4,,304,6.091,90.0,32.0
MODESTO.A,20130813,2359,0.000,,32.8,12.2,,,0,0,,,20.6,19.4,,308,6.345,88.0,26.0
MODESTO.A,20130814,2359,0.000,,32.8,11.1,,,0,0,,,21.1,20.0,,310,6.599,90.0,28.0
MODESTO.A,20130815,2359,0.000,,33.3,12.8,,,0,0,,,21.1,20.0,,308,6.091,91.0,32.0
MODESTO.A,20130816,2359,0.000,,33.3,13.3,,,0,0,,,21.7,20.6,,303,6.599,92.0,36.0
MODESTO.A,20130817,2359,0.000,,31.7,14.4,,,0,0,,,21.7,20.6,,233,5.330,84.0,37.0
MODESTO.A,20130818,2359,0.000,,34.4,15.6,,,0,0,,,22.2,20.6,,264,5.076,88.0,36.0
MODESTO.A,20130819,2359,0.000,,36.1,16.7,,,0,0,,,22.8,21.1,,275,6.091,88.0,34.0
MODESTO.A,20130820,2359,0.000,,32.2,16.7,,,0,0,,,22.8,21.7,,280,6.091,83.0,37.0
MODESTO.A,20130821,2359,0.000,,31.1,14.4,,,0,0,,,26.1,18.9,,287,5.584,87.0,37.0
MODESTO.A,20130822,2359,0.000,,28.3,12.8,,,0,0,,,24.4,22.2,,283,5.584,91.0,40.0
MODESTO.A,20130823,2359,0.000,,30.0,11.1,,,0,0,,,22.2,21.1,,279,5.330,91.0,39.0
MODESTO.A,20130824,2359,0.000,,30.0,10.6,,,0,0,,,21.7,20.6,,269,5.838,91.0,36.0
MODESTO.A,20130825,2359,0.000,,30.0,13.9,,,0,0,,,22.2,21.1,,268,5.076,91.0,44.0
MODESTO.A,20130826,2359,0.000,,28.9,13.3,,,0,0,,,21.7,21.1,,275,5.330,90.0,44.0
MODESTO.A,20130827,2359,0.000,,31.1,12.8,,,0,0,,,21.7,20.6,,270,5.584,90.0,35.0
MODESTO.A,20130828,2359,0.000,,31.1,13.3,,,0,0,,,21.7,20.6,,268,5.330,88.0,38.0
MODESTO.A,20130829,2359,0.000,,30.0,13.9,,,0,0,,,22.2,21.1,,274,5.584,90.0,42.0
MODESTO.A,20130830,2359,0.000,,33.3,12.8,,,0,0,,,22.2,20.6,,276,5.584,92.0,33.0
MODESTO.A,20130831,2359,0.000,,32.8,14.4,,,0,0,,,22.2,21.1,,256,5.330,90.0,30.0
MODESTO.A,20130901,2359,0.000,,31.1,16.1,,,0,0,,,22.2,21.1,,249,5.584,81.0,37.0
MODESTO.A,20130902,2359,0.000,,26.7,19.4,,,0,0,,,22.2,21.7,,174,3.807,76.0,54.0
MODESTO.A,20130903,2359,0.000,,28.3,15.0,,,0,0,,,21.7,21.1,,262,5.838,79.0,37.0
MODESTO.A,20130904,2359,0.000,,28.9,12.2,,,0,0,,,21.1,20.6,,266,5.584,91.0,38.0
MODESTO.A,20130905,2359,0.000,,28.9,10.0,,,0,0,,,21.1,20.0,,246,4.822,92.0,33.0
MODESTO.A,20130906,2359,0.000,,31.7,10.0,,,0,0,,,20.6,19.4,,242,5.330,91.0,26.0
MODESTO.A,20130907,2359,0.000,,34.4,12.2,,,0,0,,,21.1,19.4,,244,4.822,87.0,23.0
MODESTO.A,20130908,2359,0.000,,34.4,13.9,,,0,0,,,22.2,20.0,,239,5.584,86.0,25.0
MODESTO.A,20130909,2359,0.000,,35.0,15.0,,,0,0,,,26.1,19.4,,225,5.330,84.0,27.0
MODESTO.A,20130910,2359,0.000,,32.2,14.4,,,0,0,,,24.4,22.8,,229,4.569,88.0,34.0
MODESTO.A,20130911,2359,0.000,,27.2,12.8,,,0,0,,,22.8,21.7,,209,3.807,92.0,46.0
MODESTO.A,20130912,2359,0.000,,29.4,11.7,,,0,0,,,21.7,20.6,,238,4.315,93.0,44.0
MODESTO.A,20130913,2359,0.000,,31.7,13.9,,,N,2,,,21.7,21.1,,234,4.569,89.9,36.6
MODESTO.A,20130914,2359,0.000,,28.9,11.7,,,N,2,,,21.7,20.6,,240,4.315,89.0,36.0
MODESTO.A,20130915,2359,0.000,,28.9,8.9,,,NW,3,,,21.1,20.0,,245,0.254,,
MODESTO.A,20130916,2359,0.000,,29.4,11.7,,,NW,2,,,20.6,20.0,,241,4.569,92.2,36.5
MODESTO.A,20130917,2359,0.000,,26.1,8.3,,,0,0,,,20.6,19.4,,245,4.822,93.0,34.0
MODESTO.A,20130918,2359,0.000,,27.8,11.1,,,0,0,,,20.0,19.4,,239,5.330,82.0,26.0
MODESTO.A,20130919,2359,0.000,,31.1,8.3,,,0,0,,,20.0,18.3,,240,4.315,91.0,24.0
MODESTO.A,20130920,2359,0.000,,25.6,13.9,,,0,0,,,19.4,18.9,,262,4.822,91.0,45.0
MODESTO.A,20130921,2359,5.076,,24.4,11.1,,,0,0,,,20.0,19.4,,112,2.031,,
MODESTO.A,20130922,2359,0.254,,22.8,8.9,,,0,0,,,19.4,18.3,,210,3.300,94.0,44.0
MODESTO.A,20130923,2359,0.000,,26.7,9.4,,,0,0,,,20.0,18.3,,241,4.061,93.0,39.0
MODESTO.A,20130924,2359,0.000,,26.1,11.7,,,0,0,,,27.8,17.8,,241,4.822,93.0,40.0
MODESTO.A,20130925,2359,0.000,,21.7,10.0,,,0,0,,,20.6,18.3,,225,4.315,77.0,40.0
MODESTO.A,20130926,2359,0.000,,22.8,12.2,,,0,0,,,20.6,19.4,,239,5.584,62.0,26.0
MODESTO.A,20130927,2359,0.000,,24.4,9.4,,,0,0,,,20.0,18.9,,237,4.569,77.0,29.0
MODESTO.A,20130928,2359,0.000,,28.3,6.7,,,0,0,,,20.0,18.3,,230,4.061,84.0,16.0
MODESTO.A,20130929,2359,0.000,,26.1,7.8,,,0,0,,,20.0,18.9,,206,3.553,93.0,41.0
MODESTO.A,20130930,2359,0.000,,26.1,10.6,,,0,0,,,20.0,18.9,,214,3.553,93.0,48.0
MODESTO.A,20131001,2359,0.000,,23.9,9.4,,,0,0,,,20.0,19.4,,213,3.807,85.0,38.0
MODESTO.A,20131002,2359,0.000,,25.6,9.4,,,0,0,,,19.4,18.9,,218,4.315,87.0,29.0
MODESTO.A,20131003,2359,0.000,,22.2,12.8,,,0,0,,,18.9,18.3,,212,6.091,48.0,26.0
MODESTO.A,20131004,2359,0.000,,25.6,10.6,,,0,0,,,18.3,17.8,,220,4.569,52.0,23.0
