"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station Oakdale.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          697            0           24           10            0        "
"                     Oakdale.A    Denair.A     MANTECA.A    MDESTO.C     "
"Air Temps, max/min     680            0           34           17            0        "
"                     Oakdale.A    Denair.A     MANTECA.A    MDESTO.C     "
"Soil Temps, max/min    691            0           30            0           10        "
"                     Oakdale.A    Denair.A     MANTECA.A    none         "
"Rel. Humidity          686            0            0            0           45        "
"                     Oakdale.A    none         none         none         "
"ETo                    697            0            0            0           34        "
"                     Oakdale.A    none         none         none         "
"Solar Radiation        684            0           29           18            0        "
"                     Oakdale.A    Denair.A     MANTECA.A    KESTERSN.A   "
"Wind Speed & Dir       689            0            0            0           42        "
"                     Oakdale.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Oakdale.A,20130810,2359,0.000,,28.9,12.8,,,0,0,,,23.9,20.6,,306,5.838,93.0,44.0
Oakdale.A,20130811,2359,0.000,,30.0,13.9,,,0,0,,,23.3,22.2,,304,6.091,91.0,38.0
Oakdale.A,20130812,2359,0.000,,30.6,13.9,,,0,0,,,23.3,22.2,,308,6.345,84.0,31.0
Oakdale.A,20130813,2359,0.000,,32.2,12.8,,,0,0,,,23.3,22.2,,309,6.599,78.0,29.0
Oakdale.A,20130814,2359,0.000,,33.3,14.4,,,0,0,,,23.3,22.2,,311,6.599,75.0,29.0
Oakdale.A,20130815,2359,0.000,,33.3,15.0,,,0,0,,,23.3,22.2,,309,6.345,84.0,35.0
Oakdale.A,20130816,2359,0.000,,34.4,16.1,,,0,0,,,23.9,22.8,,305,6.599,89.0,30.0
Oakdale.A,20130817,2359,0.000,,33.3,15.6,,,0,0,,,23.3,22.8,,262,6.345,66.0,34.0
Oakdale.A,20130818,2359,0.000,,36.1,16.7,,,0,0,,,23.9,22.2,,278,5.838,82.0,30.0
Oakdale.A,20130819,2359,0.000,,37.8,18.3,,,0,0,,,23.9,22.8,,273,6.599,81.0,29.0
Oakdale.A,20130820,2359,0.000,,33.9,18.9,,,0,0,,,23.9,23.3,,282,6.853,67.0,34.0
Oakdale.A,20130821,2359,0.000,,32.8,15.6,,,0,0,,,23.9,22.8,,291,6.091,75.0,30.0
Oakdale.A,20130822,2359,0.000,,30.0,13.3,,,0,0,,,23.3,22.8,,285,5.838,82.0,39.0
Oakdale.A,20130823,2359,0.000,,30.0,12.8,,,0,0,,,23.3,22.2,,290,5.584,90.0,34.0
Oakdale.A,20130824,2359,0.000,,31.7,12.8,,,0,0,,,22.8,22.2,,281,6.091,84.0,29.0
Oakdale.A,20130825,2359,0.000,,32.8,14.4,,,0,0,,,23.3,22.2,,282,5.584,92.0,36.0
Oakdale.A,20130826,2359,0.000,,29.4,15.0,,,0,0,,,23.3,22.2,,282,5.584,89.0,34.0
Oakdale.A,20130827,2359,0.000,,32.8,14.4,,,0,0,,,22.8,22.2,,272,5.838,80.0,31.0
Oakdale.A,20130828,2359,0.000,,32.8,15.0,,,0,0,,,23.3,22.2,,277,5.838,84.0,31.0
Oakdale.A,20130829,2359,0.000,,32.2,16.1,,,0,0,,,23.3,22.2,,278,6.091,89.0,31.0
Oakdale.A,20130830,2359,0.000,,35.0,16.1,,,0,0,,,23.3,22.2,,277,6.091,87.0,26.0
Oakdale.A,20130831,2359,0.000,,35.0,16.7,,,0,0,,,23.3,22.2,,272,6.345,72.0,25.0
Oakdale.A,20130901,2359,0.000,,33.3,17.8,,,0,0,,,23.3,22.8,,250,6.091,72.0,31.0
Oakdale.A,20130902,2359,0.000,,30.0,18.3,,,0,0,,,23.3,22.8,,236,5.330,81.0,41.0
Oakdale.A,20130903,2359,0.000,,30.6,15.6,,,0,0,,,23.3,22.8,,258,5.838,86.0,29.0
Oakdale.A,20130904,2359,0.000,,31.1,15.6,,,0,0,,,23.3,22.2,,255,5.838,86.0,30.0
Oakdale.A,20130905,2359,0.000,,30.6,13.9,,,0,0,,,22.8,22.2,,265,5.584,88.0,28.0
Oakdale.A,20130906,2359,0.000,,32.8,12.8,,,0,0,,,22.8,21.7,,261,5.838,86.0,24.0
Oakdale.A,20130907,2359,0.000,,36.7,15.0,,,0,0,,,22.8,21.7,,259,5.330,74.0,19.0
Oakdale.A,20130908,2359,0.000,,36.1,16.7,,,0,0,,,22.8,21.7,,253,6.091,65.0,23.0
Oakdale.A,20130909,2359,0.000,,36.7,15.6,,,0,0,,,22.8,22.2,,237,5.838,69.0,22.0
Oakdale.A,20130910,2359,0.000,,33.3,15.6,,,0,0,,,22.8,22.2,,235,5.330,83.0,26.0
Oakdale.A,20130911,2359,0.000,,28.9,15.0,,,0,0,,,22.8,22.2,,216,4.315,90.0,41.0
Oakdale.A,20130912,2359,0.000,,30.6,14.4,,,0,0,,,22.8,21.7,,239,4.569,94.0,39.0
Oakdale.A,20130913,2359,0.000,,32.2,15.0,,,NW,3,,,22.8,22.2,,236,4.822,88.6,35.6
Oakdale.A,20130914,2359,0.000,,31.1,15.0,,,NW,3,,,22.8,22.2,,239,4.315,77.0,35.0
Oakdale.A,20130915,2359,0.000,,30.0,12.8,,,NW,4,,,22.8,21.7,,242,0.254,,
Oakdale.A,20130916,2359,0.000,,30.6,12.8,,,NW,3,,,22.8,21.7,,237,4.822,93.6,31.1
Oakdale.A,20130917,2359,0.000,,27.8,14.4,,,0,0,,,22.2,21.7,,298,5.076,87.0,33.0
Oakdale.A,20130918,2359,0.000,,28.9,11.7,,,0,0,,,22.2,21.1,,255,5.330,86.0,25.0
Oakdale.A,20130919,2359,0.000,,32.2,10.0,,,0,0,,,21.7,20.6,,251,4.569,84.0,21.0
Oakdale.A,20130920,2359,0.000,,26.7,11.1,,,0,0,,,21.7,20.6,,242,5.076,86.0,39.0
Oakdale.A,20130921,2359,6.091,,23.9,11.1,,,0,0,,,21.7,20.6,,111,1.777,93.0,45.0
Oakdale.A,20130922,2359,0.000,,22.2,9.4,,,0,0,,,20.6,20.0,,182,2.792,96.0,51.0
Oakdale.A,20130923,2359,0.000,,27.8,10.0,,,0,0,,,20.6,19.4,,245,4.315,96.0,41.0
Oakdale.A,20130924,2359,0.000,,27.2,11.1,,,0,0,,,20.6,20.0,,236,4.569,91.0,34.0
Oakdale.A,20130925,2359,0.000,,22.2,9.4,,,0,0,,,20.6,19.4,,236,4.315,85.0,34.0
Oakdale.A,20130926,2359,0.000,,23.3,8.9,,,0,0,,,20.0,19.4,,242,5.076,73.0,26.0
Oakdale.A,20130927,2359,0.000,,25.6,6.1,,,0,0,,,19.4,18.9,,239,4.061,79.0,22.0
Oakdale.A,20130928,2359,0.000,,29.4,7.2,,,0,0,,,19.4,18.3,,234,4.061,73.0,16.0
Oakdale.A,20130929,2359,0.000,,27.8,11.1,,,0,0,,,19.4,18.9,,208,3.807,90.0,34.0
Oakdale.A,20130930,2359,0.000,,26.7,12.8,,,0,0,,,20.0,18.9,,211,3.807,94.0,44.0
Oakdale.A,20131001,2359,0.000,,25.0,11.1,,,0,0,,,20.0,19.4,,212,4.061,91.0,35.0
Oakdale.A,20131002,2359,0.000,,26.7,9.4,,,0,0,,,19.4,18.9,,221,4.315,90.0,27.0
Oakdale.A,20131003,2359,0.000,,23.3,8.3,,,0,0,,,19.4,18.3,,222,5.330,73.0,24.0
Oakdale.A,20131004,2359,0.000,,26.7,4.4,,,0,0,,,18.9,17.8,,219,3.807,76.0,21.0
Oakdale.A,20131005,2359,0.000,,29.4,6.7,,,0,0,,,18.3,17.8,,219,3.807,74.0,16.0
Oakdale.A,20131006,2359,0.000,,31.1,7.2,,,0,0,,,18.3,17.8,,214,3.807,69.0,15.0
Oakdale.A,20131007,2359,0.000,,28.9,8.9,,,0,0,,,18.3,17.8,,205,4.061,77.0,20.0
Oakdale.A,20131008,2359,0.000,,23.9,10.0,,,0,0,,,18.3,17.8,,176,3.553,71.0,30.0
Oakdale.A,20131009,2359,0.000,,20.6,8.3,,,0,0,,,18.3,17.8,,172,2.538,84.0,38.0
Oakdale.A,20131010,2359,0.000,,23.3,8.3,,,0,0,,,17.8,17.2,,190,3.046,85.0,34.0
Oakdale.A,20131011,2359,0.000,,24.4,5.6,,,0,0,,,17.8,17.2,,194,3.300,86.0,32.0
Oakdale.A,20131012,2359,0.000,,25.6,6.1,,,0,0,,,17.8,17.2,,192,3.300,92.0,28.0
Oakdale.A,20131013,2359,0.000,,23.3,6.7,,,0,0,,,17.8,17.2,,192,3.807,89.0,31.0
Oakdale.A,20131014,2359,0.000,,27.2,11.1,,,0,0,,,17.8,16.7,,192,3.300,82.0,28.0
Oakdale.A,20131015,2359,0.000,,26.1,6.1,,,0,0,,,17.2,16.7,,191,3.553,77.0,23.0
Oakdale.A,20131016,2359,0.000,,25.0,11.1,,,0,0,,,17.8,16.7,,187,3.300,70.0,19.0
Oakdale.A,20131017,2359,0.000,,27.2,7.2,,,0,0,,,17.2,16.7,,185,3.553,77.0,22.0
Oakdale.A,20131018,2359,0.000,,26.1,10.6,,,0,0,,,17.2,16.7,,185,3.046,70.0,16.0
Oakdale.A,20131019,2359,0.000,,25.6,10.6,,,0,0,,,17.2,16.7,,183,3.046,76.0,22.0
Oakdale.A,20131020,2359,0.000,,25.0,10.6,,,0,0,,,17.2,16.7,,182,3.046,83.0,23.0
Oakdale.A,20131021,2359,0.000,,25.0,10.6,,,0,0,,,17.2,16.7,,176,3.046,79.0,24.0
Oakdale.A,20131022,2359,0.000,,27.8,6.1,,,0,0,,,17.2,16.1,,173,3.046,87.0,27.0
Oakdale.A,20131023,2359,0.000,,27.8,6.1,,,0,0,,,17.2,16.1,,170,3.046,80.0,24.0
Oakdale.A,20131024,2359,0.000,,22.8,7.2,,,0,0,,,17.2,16.1,,167,2.792,87.0,41.0
Oakdale.A,20131025,2359,0.000,,24.4,7.2,,,0,0,,,16.7,16.1,,162,2.538,93.0,33.0
Oakdale.A,20131026,2359,0.000,,26.7,5.6,,,0,0,,,16.7,16.1,,164,2.792,88.0,29.0
Oakdale.A,20131027,2359,0.000,,27.2,6.1,,,0,0,,,16.7,16.1,,159,2.792,81.0,28.0
Oakdale.A,20131028,2359,0.000,,20.0,7.8,,,0,0,,,16.7,16.1,,142,2.284,86.0,36.0
Oakdale.A,20131029,2359,0.000,,18.9,6.1,,,0,0,,,16.7,16.1,,114,1.523,88.0,45.0
Oakdale.A,20131030,2359,0.000,,20.0,3.9,,,0,0,,,16.1,15.6,,153,2.284,95.0,43.0
