"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station PATTERSON.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            3            0           10            0        "
"                     PATTERSON.A  MODESTO.A    Denair.A     NEWMAN.C     "
"Air Temps, max/min     711            4            0           16            0        "
"                     PATTERSON.A  MODESTO.A    Denair.A     NEWMAN.C     "
"Soil Temps, max/min    720            1            0            0           10        "
"                     PATTERSON.A  MODESTO.A    Denair.A     KESTERSN.A   "
"Rel. Humidity          716            0            0            0           15        "
"                     PATTERSON.A  none         none         none         "
"ETo                    720            0            0            0           11        "
"                     PATTERSON.A  none         none         none         "
"Solar Radiation        711            4            0           16            0        "
"                     PATTERSON.A  MODESTO.A    Denair.A     KESTERSN.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     PATTERSON.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PATTERSON.A,20130810,2359,0.000,,28.9,11.1,,,0,0,,,22.8,21.7,,256,5.076,92.0,36.0
PATTERSON.A,20130811,2359,0.000,,30.0,12.2,,,0,0,,,23.3,21.7,,259,5.584,92.0,30.0
PATTERSON.A,20130812,2359,0.000,,30.6,12.2,,,0,0,,,23.3,21.7,,261,5.584,81.0,28.0
PATTERSON.A,20130813,2359,0.000,,31.7,13.3,,,0,0,,,23.3,21.7,,262,6.091,78.0,26.0
PATTERSON.A,20130814,2359,0.000,,32.2,14.4,,,0,0,,,23.9,22.2,,266,6.091,70.0,22.0
PATTERSON.A,20130815,2359,0.000,,32.8,12.8,,,0,0,,,23.9,22.2,,264,5.838,84.0,29.0
PATTERSON.A,20130816,2359,0.000,,33.3,14.4,,,0,0,,,24.4,22.8,,256,5.838,90.0,34.0
PATTERSON.A,20130817,2359,0.000,,31.1,16.1,,,0,0,,,24.4,22.8,,207,5.076,70.0,32.0
PATTERSON.A,20130818,2359,0.000,,32.8,16.7,,,0,0,,,25.0,22.8,,215,4.569,75.0,35.0
PATTERSON.A,20130819,2359,0.000,,36.1,18.9,,,0,0,,,25.6,23.3,,235,6.091,65.0,28.0
PATTERSON.A,20130820,2359,0.000,,32.8,18.9,,,0,0,,,26.1,24.4,,241,5.838,70.0,34.0
PATTERSON.A,20130821,2359,0.000,,30.6,15.0,,,0,0,,,25.6,23.9,,247,5.330,81.0,34.0
PATTERSON.A,20130822,2359,0.000,,28.9,13.3,,,0,0,,,25.6,23.3,,248,5.076,89.0,38.0
PATTERSON.A,20130823,2359,0.000,,29.4,11.1,,,0,0,,,24.4,22.8,,247,5.076,92.0,35.0
PATTERSON.A,20130824,2359,0.000,,30.6,12.8,,,0,0,,,24.4,22.2,,239,5.330,87.0,31.0
PATTERSON.A,20130825,2359,0.000,,31.1,13.9,,,0,0,,,24.4,22.8,,234,4.569,91.0,39.0
PATTERSON.A,20130826,2359,0.000,,28.9,12.8,,,0,0,,,24.4,23.3,,242,5.330,91.0,38.0
PATTERSON.A,20130827,2359,0.000,,31.1,14.4,,,0,0,,,24.4,22.8,,236,5.330,77.0,28.0
PATTERSON.A,20130828,2359,0.000,,31.1,13.9,,,0,0,,,24.4,22.8,,239,5.330,83.0,33.0
