"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 49% of requested data were available from station Verona.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          359          353           10            9            0        "
"                     Verona.A     Woodland.A   DAVIS.A      WOODLAND.C   "
"Air Temps, max/min     359          353           10            9            0        "
"                     Verona.A     Woodland.A   DAVIS.A      WOODLAND.C   "
"Soil Temps, max/min    356            0            0          375            0        "
"                     Verona.A     none         none         NICOLAUS.A   "
"Rel. Humidity          357            0            0            0          374        "
"                     Verona.A     none         none         none         "
"ETo                    359            0            0            0          372        "
"                     Verona.A     none         none         none         "
"Solar Radiation        358          350           12           11            0        "
"                     Verona.A     Woodland.A   DAVIS.A      DAVIS.A      "
"Wind Speed & Dir       351            0            0            0          380        "
"                     Verona.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Verona.A,20130810,2359,0.000,,30.0,11.7,,,,,,,26.1,22.8,,287,,,
Verona.A,20130811,2359,0.000,,31.7,12.2,,,,,,,26.1,22.2,,289,,,
Verona.A,20130812,2359,0.000,,32.2,12.2,,,,,,,26.1,22.2,,292,,,
Verona.A,20130813,2359,0.000,,34.4,11.7,,,,,,,26.1,22.8,,292,,,
Verona.A,20130814,2359,0.000,,35.0,12.8,,,,,,,26.1,22.8,,293,,,
Verona.A,20130815,2359,0.000,,35.6,14.4,,,,,,,25.6,22.2,,289,,,
Verona.A,20130816,2359,0.000,,35.0,16.1,,,,,,,25.6,22.2,,274,,,
Verona.A,20130817,2359,0.000,,36.1,16.1,,,,,,,25.6,22.2,,240,,,
Verona.A,20130818,2359,0.000,,37.2,15.6,,,,,,,25.6,22.2,,249,,,
Verona.A,20130819,2359,0.000,,39.4,20.0,,,,,,,25.6,21.7,,206,,,
Verona.A,20130820,2359,0.000,,35.0,18.3,,,,,,,25.0,21.7,,252,,,
Verona.A,20130821,2359,0.000,,33.9,15.6,,,,,,,25.0,21.7,,268,,,
Verona.A,20130822,2359,0.000,,32.2,13.3,,,,,,,25.0,21.7,,273,,,
Verona.A,20130823,2359,0.000,,32.2,11.1,,,,,,,25.0,21.7,,272,,,
Verona.A,20130824,2359,0.000,,32.8,12.8,,,,,,,25.0,21.7,,265,,,
Verona.A,20130825,2359,0.000,,31.1,16.7,,,,,,,25.0,21.7,,262,,,
Verona.A,20130826,2359,0.000,,31.7,13.9,,,,,,,25.0,21.7,,272,,,
Verona.A,20130827,2359,0.000,,33.9,11.7,,,,,,,25.0,21.7,,269,,,
Verona.A,20130828,2359,0.000,,33.9,13.9,,,,,,,25.0,21.7,,265,,,
Verona.A,20130829,2359,0.000,,33.9,15.6,,,,,,,25.0,21.7,,265,,,
Verona.A,20130830,2359,0.000,,36.1,15.0,,,,,,,24.4,21.7,,263,,,
Verona.A,20130831,2359,0.000,,35.6,13.9,,,,,,,24.4,21.7,,262,,,
Verona.A,20130901,2359,0.000,,33.3,16.1,,,,,,,24.4,21.7,,181,,,
Verona.A,20130902,2359,0.000,,29.4,18.3,,,,,,,24.4,21.7,,187,,,
Verona.A,20130903,2359,0.000,,30.6,15.0,,,,,,,24.4,21.1,,256,,,
