"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 2014 to August 10, 2015, retrieved on August 11, 2015"
" (587 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 1% of requested data were available from station Gerber_South.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation            8          559            0           20            0        "
"                     Gerber_Southû.A           DURHAM.A     none         REDBLUFF.C   "
"Air Temps, max/min       8          535            0           44            0        "
"                     Gerber_Southû.A           DURHAM.A     none         REDBLUFF.C   "
"Soil Temps, max/min      8            0            0            0          579        "
"                     Gerber_Southû.A           ORLAND2.A    none         GERBER.A     "
"Rel. Humidity            8            0            0            0          579        "
"                     Gerber_Southû.A           none         none         none         "
"ETo                      8            0            0            0          579        "
"                     Gerber_Southû.A           none         none         none         "
"Solar Radiation          8          555            0           24            0        "
"                     Gerber_Southû.A           DURHAM.A     none         GERBER.A     "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Gerber_South.A,20140101,2359,0.000,,15.6,-1.1,,,,,,,,,,98,,,
Gerber_South.A,20140102,2359,0.000,,20.6,1.1,,,,,,,,,,104,,,
Gerber_South.A,20140103,2359,0.000,,20.0,0.6,,,,,,,,,,105,,,
Gerber_South.A,20140104,2359,0.000,,20.0,0.6,,,,,,,,,,112,,,
Gerber_South.A,20140105,2359,0.000,,21.1,1.7,,,,,,,,,,111,,,
Gerber_South.A,20140106,2359,0.000,,14.4,0.6,,,,,,,,,,56,,,
Gerber_South.A,20140107,2359,0.000,,16.1,-1.1,,,,,,,,,,78,,,
Gerber_South.A,20140108,2359,0.000,,13.9,-0.6,,,,,,,,,,75,,,
Gerber_South.A,20140109,2359,0.000,,13.9,1.7,,,,,,,,,,89,,,
Gerber_South.A,20140110,2359,0.000,,16.7,2.2,,,,,,,,,,101,,,
Gerber_South.A,20140111,2359,0.254,,13.3,4.4,,,,,,,,,,62,,,
Gerber_South.A,20140112,2359,0.000,,16.1,0.6,,,,,,,,,,114,,,
Gerber_South.A,20140113,2359,0.000,,16.1,1.1,,,,,,,,,,117,,,
Gerber_South.A,20140114,2359,0.000,,24.4,2.2,,,,,,,,,,119,,,
Gerber_South.A,20140115,2359,0.000,,13.9,2.8,,,,,,,,,,122,,,
Gerber_South.A,20140116,2359,0.000,,20.0,-1.7,,,,,,,,,,123,,,
Gerber_South.A,20140117,2359,0.000,,22.8,0.0,,,,,,,,,,122,,,
Gerber_South.A,20140118,2359,0.000,,19.4,-1.1,,,,,,,,,,123,,,
Gerber_South.A,20140119,2359,0.000,,21.7,-1.1,,,,,,,,,,125,,,
Gerber_South.A,20140120,2359,0.000,,23.3,-1.7,,,,,,,,,,127,,,
Gerber_South.A,20140121,2359,0.000,,22.2,0.0,,,,,,,,,,125,,,
Gerber_South.A,20140122,2359,0.000,,18.3,-1.1,,,,,,,,,,127,,,
Gerber_South.A,20140123,2359,0.000,,25.0,9.4,,,,,,,,,,178,,,
Gerber_South.A,20140124,2359,0.000,,25.6,5.6,,,,,,,,,,129,,,
Gerber_South.A,20140125,2359,0.000,,24.4,3.9,,,,,,,,,,130,,,
Gerber_South.A,20140126,2359,0.000,,21.7,1.1,,,,,,,,,,129,,,
Gerber_South.A,20140127,2359,0.000,,16.1,2.2,,,,,,,,,,82,,,
Gerber_South.A,20140128,2359,0.000,,19.4,8.9,,,,,,,,,,77,,,
Gerber_South.A,20140129,2359,3.807,,15.6,8.3,,,,,,,,,,15,,,
Gerber_South.A,20140130,2359,0.000,,16.7,6.1,,,,,,,,,,99,,,
Gerber_South.A,20140131,2359,0.000,,16.1,1.7,,,,,,,,,,146,,,
Gerber_South.A,20140201,2359,0.000,,16.1,2.8,,,,,,,,,,149,,,
Gerber_South.A,20140202,2359,0.000,,11.7,1.1,,,,,,,,,,72,,,
Gerber_South.A,20140203,2359,0.000,,14.4,-1.7,,,,,,,,,,146,,,
Gerber_South.A,20140204,2359,0.000,,13.9,-1.7,,,,,,,,,,122,,,
Gerber_South.A,20140205,2359,0.508,,12.2,-2.8,,,,,,,,,,122,,,
Gerber_South.A,20140206,2359,8.122,,9.4,5.6,,,,,,,,,,33,,,
Gerber_South.A,20140207,2359,16.75,,10.6,8.9,,,,,,,,,,18,,,
Gerber_South.A,20140208,2359,20.30,,13.9,10.6,,,,,,,,,,18,,,
Gerber_South.A,20140209,2359,24.87,,15.0,12.8,,,,,,,,,,25,,,
Gerber_South.A,20140210,2359,4.061,,17.8,10.0,,,,,,,,,,133,,,
Gerber_South.A,20140211,2359,0.000,,18.3,5.6,,,,,,,,,,112,,,
Gerber_South.A,20140212,2359,0.000,,18.9,9.4,,,,,,,,,,107,,,
Gerber_South.A,20140213,2359,0.000,,16.1,11.7,,,,,,,,,,36,,,
Gerber_South.A,20140214,2359,0.000,,20.0,11.7,,,,,,,,,,111,,,
Gerber_South.A,20140215,2359,0.000,,15.6,13.3,,,,,,,,,,36,,,
Gerber_South.A,20140216,2359,0.000,,18.9,4.4,,,,,,,,,,173,,,
Gerber_South.A,20140217,2359,0.000,,18.3,1.7,,,,,,,,,,154,,,
Gerber_South.A,20140218,2359,0.000,,17.2,2.8,,,,,,,,,,105,,,
Gerber_South.A,20140219,2359,0.508,,17.8,6.7,,,,,,,,,,179,,,
Gerber_South.A,20140220,2359,0.000,,21.7,4.4,,,,,,,,,,170,,,
Gerber_South.A,20140221,2359,0.000,,22.8,3.9,,,,,,,,,,181,,,
Gerber_South.A,20140222,2359,0.000,,23.9,1.7,,,,,,,,,,186,,,
Gerber_South.A,20140223,2359,0.000,,22.2,3.3,,,,,,,,,,188,,,
Gerber_South.A,20140224,2359,0.000,,23.9,3.9,,,,,,,,,,186,,,
Gerber_South.A,20140225,2359,0.000,,22.2,5.0,,,,,,,,,,180,,,
Gerber_South.A,20140226,2359,18.78,,15.0,9.4,,,,,,,,,,51,,,
Gerber_South.A,20140227,2359,0.000,,17.8,11.7,,,,,,,,,,87,,,
Gerber_South.A,20140228,2359,22.84,,15.6,9.4,,,,,,,,,,46,,,
Gerber_South.A,20140301,2359,1.777,,19.4,8.9,,,,,,,,,,102,,,
Gerber_South.A,20140302,2359,0.508,,15.0,10.6,,,,,,,,,,48,,,
Gerber_South.A,20140303,2359,30.96,,13.3,11.1,,,,,,,,,,26,,,
Gerber_South.A,20140304,2359,1.269,,17.8,10.6,,,,,,,,,,114,,,
Gerber_South.A,20140305,2359,6.599,,18.3,12.2,,,,,,,,,,66,,,
Gerber_South.A,20140306,2359,0.000,,20.6,9.4,,,,,,,,,,182,,,
Gerber_South.A,20140307,2359,0.000,,21.7,6.7,,,,,,,,,,213,,,
Gerber_South.A,20140308,2359,0.000,,20.6,4.4,,,,,,,,,,185,,,
Gerber_South.A,20140309,2359,0.508,,16.1,12.8,,,,,,,,,,40,,,
Gerber_South.A,20140310,2359,10.40,,19.4,8.9,,,,,,,,,,221,,,
Gerber_South.A,20140311,2359,0.000,,22.2,7.2,,,,,,,,,,229,,,
Gerber_South.A,20140312,2359,0.000,,23.3,6.7,,,,,,,,,,233,,,
Gerber_South.A,20140313,2359,0.000,,25.6,4.4,,,,,,,,,,237,,,
Gerber_South.A,20140314,2359,0.000,,24.4,5.0,,,,,,,,,,210,,,
Gerber_South.A,20140315,2359,0.000,,28.3,7.2,,,,,,,,,,233,,,
Gerber_South.A,20140316,2359,0.000,,26.1,5.6,,,,,,,,,,233,,,
Gerber_South.A,20140317,2359,0.000,,19.4,7.2,,,,,,,,,,239,,,
Gerber_South.A,20140318,2359,0.000,,21.7,6.1,,,,,,,,,,243,,,
Gerber_South.A,20140319,2359,0.000,,24.4,2.2,,,,,,,,,,241,,,
Gerber_South.A,20140320,2359,0.000,,25.0,5.0,,,,,,,,,,242,,,
Gerber_South.A,20140321,2359,0.000,,23.9,3.9,,,,,,,,,,242,,,
Gerber_South.A,20140322,2359,0.000,,25.6,4.4,,,,,,,,,,247,,,
Gerber_South.A,20140323,2359,0.000,,25.6,4.4,,,,,,,,,,245,,,
Gerber_South.A,20140324,2359,0.000,,26.7,3.3,,,,,,,,,,247,,,
Gerber_South.A,20140325,2359,3.807,,16.7,10.6,,,,,,,,,,77,,,
Gerber_South.A,20140326,2359,5.584,,13.9,9.4,,,,,,,,,,78,,,
Gerber_South.A,20140327,2359,0.000,,17.8,8.9,,,,,,,,,,175,,,
Gerber_South.A,20140328,2359,0.761,,18.9,11.1,,,,,,,,,,101,,,
Gerber_South.A,20140329,2359,16.49,,15.0,7.8,,,,,,,,,,49,,,
Gerber_South.A,20140330,2359,0.000,,16.7,2.8,,,,,,,,,,194,,,
Gerber_South.A,20140331,2359,5.584,,13.9,6.7,,,,,,,,,,74,,,
Gerber_South.A,20140401,2359,3.807,,12.2,6.7,,,,,,,,,,96,,,
Gerber_South.A,20140402,2359,0.000,,17.8,6.7,,,,,,,,,,257,,,
Gerber_South.A,20140403,2359,0.000,,18.3,5.6,,,,,,,,,,201,,,
Gerber_South.A,20140404,2359,1.269,,16.1,5.6,,,,,,,,,,153,,,
Gerber_South.A,20140405,2359,0.000,,22.2,2.8,,,,,,,,,,274,,,
Gerber_South.A,20140406,2359,0.000,,26.1,5.6,,,,,,,,,,268,,,
Gerber_South.A,20140407,2359,0.000,,27.8,8.3,,,,,,,,,,276,,,
Gerber_South.A,20140408,2359,0.000,,30.0,8.3,,,,,,,,,,260,,,
Gerber_South.A,20140409,2359,0.000,,28.3,10.0,,,,,,,,,,270,,,
Gerber_South.A,20140410,2359,0.000,,29.4,8.3,,,,,,,,,,283,,,
Gerber_South.A,20140411,2359,0.000,,29.4,9.4,,,,,,,,,,273,,,
Gerber_South.A,20140412,2359,0.000,,26.1,9.4,,,,,,,,,,279,,,
Gerber_South.A,20140413,2359,0.000,,26.1,7.8,,,,,,,,,,294,,,
Gerber_South.A,20140414,2359,0.000,,28.3,6.7,,,,,,,,,,286,,,
Gerber_South.A,20140415,2359,0.000,,28.9,9.4,,,,,,,,,,280,,,
Gerber_South.A,20140416,2359,0.000,,27.8,8.9,,,,,,,,,,281,,,
Gerber_South.A,20140417,2359,0.000,,29.4,9.4,,,,,,,,,,271,,,
Gerber_South.A,20140418,2359,0.000,,27.2,12.2,,,,,,,,,,271,,,
Gerber_South.A,20140419,2359,0.000,,26.7,10.6,,,,,,,,,,282,,,
Gerber_South.A,20140420,2359,0.000,,30.0,6.7,,,,,,,,,,293,,,
Gerber_South.A,20140421,2359,0.000,,23.9,10.0,,,,,,,,,,154,,,
Gerber_South.A,20140422,2359,0.000,,21.1,9.4,,,,,,,,,,280,,,
Gerber_South.A,20140423,2359,0.000,,23.3,3.3,,,,,,,,,,294,,,
Gerber_South.A,20140424,2359,0.000,,22.8,13.3,,,,,,,,,,197,,,
Gerber_South.A,20140425,2359,14.97,,15.6,5.0,,,,,,,,,,84,,,
Gerber_South.A,20140426,2359,0.000,,17.8,3.9,,,,,,,,,,256,,,
Gerber_South.A,20140427,2359,0.000,,20.0,9.4,,,,,,,,,,138,,,
Gerber_South.A,20140428,2359,0.000,,25.0,7.8,,,,,,,,,,313,,,
Gerber_South.A,20140429,2359,0.000,,35.6,11.1,,,,,,,,,,319,,,
Gerber_South.A,20140430,2359,0.000,,39.4,12.8,,,,,,,,,,318,,,
Gerber_South.A,20140501,2359,0.000,,24.4,10.6,,,,,,,,,,305,,,
Gerber_South.A,20140502,2359,0.000,,24.4,10.6,,,,,,,,,,304,,,
Gerber_South.A,20140503,2359,11.67,,25.6,11.1,,,,,,,,,,304,,,
Gerber_South.A,20140504,2359,0.000,,34.4,12.8,,,,,,,,,,277,,,
Gerber_South.A,20140505,2359,1.523,,31.1,13.3,,,,,,,,,,218,,,
Gerber_South.A,20140506,2359,0.000,,33.9,10.6,,,,,,,,,,325,,,
Gerber_South.A,20140507,2359,0.000,,33.9,9.4,,,,,,,,,,305,,,
Gerber_South.A,20140508,2359,0.000,,28.3,17.8,,,,,,,,,,163,,,
Gerber_South.A,20140509,2359,0.000,,34.4,16.7,,,,,,,,,,310,,,
Gerber_South.A,20140510,2359,0.761,,30.6,12.2,,,,,,,,,,335,,,
Gerber_South.A,20140511,2359,0.000,,37.2,9.4,,,,,,,,,,339,,,
Gerber_South.A,20140512,2359,0.000,,27.2,11.1,,,,,,,,,,333,,,
Gerber_South.A,20140513,2359,0.000,,28.3,11.1,,,,,,,,,,334,,,
Gerber_South.A,20140514,2359,0.000,,28.3,12.2,,,,,,,,,,334,,,
Gerber_South.A,20140515,2359,0.000,,28.3,13.3,,,,,,,,,,279,,,
Gerber_South.A,20140516,2359,0.000,,28.3,12.2,,,,,,,,,,324,,,
Gerber_South.A,20140517,2359,0.000,,27.8,12.8,,,,,,,,,,322,,,
Gerber_South.A,20140518,2359,3.046,,27.2,12.8,,,,,,,,,,332,,,
Gerber_South.A,20140519,2359,0.761,,35.6,17.8,,,,,,,,,,295,,,
Gerber_South.A,20140520,2359,0.000,,32.8,12.8,,,,,,,,,,283,,,
Gerber_South.A,20140521,2359,0.000,,28.3,12.2,,,,,,,,,,323,,,
Gerber_South.A,20140522,2359,0.000,,30.0,13.3,,,,,,,,,,340,,,
Gerber_South.A,20140523,2359,0.000,,30.6,13.9,,,,,,,,,,290,,,
Gerber_South.A,20140524,2359,0.508,,30.0,13.9,,,,,,,,,,329,,,
Gerber_South.A,20140525,2359,0.000,,30.0,13.3,,,,,,,,,,326,,,
Gerber_South.A,20140526,2359,0.000,,28.9,14.4,,,,,,,,,,340,,,
Gerber_South.A,20140527,2359,0.000,,30.0,15.0,,,,,,,,,,324,,,
Gerber_South.A,20140528,2359,0.000,,29.4,13.9,,,,,,,,,,338,,,
Gerber_South.A,20140529,2359,0.000,,30.0,15.6,,,,,,,,,,301,,,
Gerber_South.A,20140530,2359,0.000,,29.4,10.6,,,,,,,,,,351,,,
Gerber_South.A,20140531,2359,0.000,,30.0,8.3,,,,,,,,,,350,,,
Gerber_South.A,20140601,2359,0.000,,31.7,10.0,,,,,,,,,,347,,,
Gerber_South.A,20140602,2359,0.000,,31.1,11.7,,,,,,,,,,349,,,
Gerber_South.A,20140603,2359,0.000,,29.4,10.0,,,,,,,,,,349,,,
Gerber_South.A,20140604,2359,0.000,,30.0,15.0,,,,,,,,,,303,,,
Gerber_South.A,20140605,2359,0.000,,33.9,13.9,,,,,,,,,,347,,,
Gerber_South.A,20140606,2359,0.000,,33.3,14.4,,,,,,,,,,340,,,
Gerber_South.A,20140607,2359,0.000,,37.2,15.6,,,,,,,,,,344,,,
Gerber_South.A,20140608,2359,0.000,,37.8,18.3,,,,,,,,,,344,,,
Gerber_South.A,20140609,2359,0.000,,38.3,15.0,,,,,,,,,,342,,,
Gerber_South.A,20140610,2359,0.000,,37.2,16.7,,,,,,,,,,340,,,
Gerber_South.A,20140611,2359,0.000,,28.9,14.4,,,,,,,,,,337,,,
Gerber_South.A,20140612,2359,0.000,,27.8,13.3,,,,,,,,,,340,,,
Gerber_South.A,20140613,2359,0.000,,30.0,11.7,,,,,,,,,,353,,,
Gerber_South.A,20140614,2359,0.000,,29.4,12.2,,,,,,,,,,274,,,
Gerber_South.A,20140615,2359,0.000,,28.9,13.3,,,,,,,,,,335,,,
Gerber_South.A,20140616,2359,0.000,,32.8,16.7,,,,,,,,,,367,,,
Gerber_South.A,20140617,2359,0.000,,28.3,10.6,,,,,,,,,,358,,,
Gerber_South.A,20140618,2359,0.000,,31.7,12.8,,,,,,,,,,360,,,
Gerber_South.A,20140619,2359,0.000,,32.2,11.1,,,,,,,,,,345,,,
Gerber_South.A,20140620,2359,0.000,,32.2,11.7,,,,,,,,,,356,,,
Gerber_South.A,20140621,2359,0.000,,30.6,13.3,,,,,,,,,,352,,,
Gerber_South.A,20140622,2359,0.000,,31.7,11.1,,,,,,,,,,347,,,
Gerber_South.A,20140623,2359,0.000,,32.8,12.2,,,,,,,,,,342,,,
