"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 93% of requested data were available from station Delano.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          712            8            0           11            0        "
"                     Delano.A     FAMOSO.A     PORTERVILLE.ûA            WASCO.C      "
"Air Temps, max/min     708           12            0           11            0        "
"                     Delano.A     FAMOSO.A     PORTERVILLE.ûA            WASCO.C      "
"Soil Temps, max/min    522          182           16           11            0        "
"                     Delano.A     FAMOSO.A     PORTERVILLE.ûA            SHAFTER.A    "
"Rel. Humidity          704            0            0            0           27        "
"                     Delano.A     none         none         none         "
"ETo                    713            0            0            0           18        "
"                     Delano.A     none         none         none         "
"Solar Radiation        703           15            1           12            0        "
"                     Delano.A     FAMOSO.A     PORTERVILLE.ûA            SHAFTER.A    "
"Wind Speed & Dir       705            0            0            0           26        "
"                     Delano.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Delano.A,20130810,2359,0.000,,33.3,8.9,,,0,0,,,26.1,23.3,,308,6.091,,
Delano.A,20130811,2359,0.000,,33.9,12.2,,,0,0,,,26.1,23.3,,310,6.091,95.0,22.0
Delano.A,20130812,2359,0.000,,35.6,16.7,,,0,0,,,26.1,23.9,,310,6.345,77.0,20.0
Delano.A,20130813,2359,0.000,,36.7,15.6,,,0,0,,,29.4,26.7,,312,6.345,94.0,18.0
Delano.A,20130814,2359,0.000,,38.3,16.1,,,0,0,,,29.4,23.9,,311,6.345,93.0,16.0
Delano.A,20130815,2359,0.000,,37.2,15.0,,,0,0,,,30.0,23.9,,306,6.345,95.0,19.0
Delano.A,20130816,2359,0.000,,37.2,17.8,,,0,0,,,28.9,23.9,,293,6.091,95.0,21.0
Delano.A,20130817,2359,0.000,,37.8,17.2,,,0,0,,,31.1,23.9,,296,6.599,93.0,17.0
Delano.A,20130818,2359,0.000,,35.0,16.7,,,0,0,,,30.0,23.9,,214,4.569,80.0,29.0
Delano.A,20130819,2359,0.000,,40.0,20.6,,,0,0,,,26.7,24.4,,279,6.853,77.0,22.0
Delano.A,20130820,2359,0.000,,36.7,20.0,,,,,,,30.6,28.3,,288,,,
Delano.A,20130821,2359,0.000,,36.7,16.7,,,0,0,,,28.3,23.3,,284,6.091,94.0,21.0
Delano.A,20130822,2359,0.000,,36.7,16.7,,,0,0,,,31.1,23.9,,291,6.091,81.0,18.0
Delano.A,20130823,2359,0.000,,31.7,16.1,,,,,,,29.4,27.8,,289,,,
Delano.A,20130824,2359,0.000,,35.6,15.6,,,0,0,,,30.6,23.3,,291,5.838,95.0,21.0
Delano.A,20130825,2359,0.000,,34.4,15.6,,,0,0,,,27.8,22.2,,291,5.838,84.0,26.0
Delano.A,20130826,2359,0.000,,31.7,15.0,,,,,,,28.9,26.7,,281,,,
Delano.A,20130827,2359,0.000,,33.9,17.2,,,,,,,28.9,26.1,,252,,,
Delano.A,20130828,2359,0.000,,35.0,18.3,,,0,0,,,35.6,23.9,,275,5.838,70.0,28.0
Delano.A,20130829,2359,0.000,,36.1,17.8,,,0,0,,,28.9,23.9,,272,5.838,76.0,26.0
Delano.A,20130830,2359,0.000,,33.9,17.8,,,,,,,29.4,26.7,,265,,,
