"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station PORTERVILLE.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          719            0            0           12            0        "
"                     PORTERVILLE.ûA            VISALIA.A    Denair.A     LINDSAY.C    "
"Air Temps, max/min     710            0            0           21            0        "
"                     PORTERVILLE.ûA            VISALIA.A    Denair.A     LINDSAY.C    "
"Soil Temps, max/min    714            0            0           17            0        "
"                     PORTERVILLE.ûA            VISALIA.A    Denair.A     VISALIA.A    "
"Rel. Humidity          710            0            0            0           21        "
"                     PORTERVILLE.ûA            none         none         none         "
"ETo                    720            0            0            0           11        "
"                     PORTERVILLE.ûA            none         none         none         "
"Solar Radiation        709            0            0           22            0        "
"                     PORTERVILLE.ûA            VISALIA.A    Denair.A     VISALIA.A    "
"Wind Speed & Dir       712            0            0            0           19        "
"                     PORTERVILLE.ûA            none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PORTERVILLE.A,20130810,2359,0.000,,31.7,13.9,,,0,0,,,29.4,27.8,,305,5.838,85.0,27.0
PORTERVILLE.A,20130811,2359,0.000,,32.8,14.4,,,0,0,,,28.9,27.8,,308,6.091,86.0,28.0
PORTERVILLE.A,20130812,2359,0.000,,33.9,14.4,,,0,0,,,28.9,27.8,,306,6.091,84.0,25.0
PORTERVILLE.A,20130813,2359,0.000,,35.0,15.0,,,0,0,,,28.9,27.8,,308,6.091,82.0,24.0
PORTERVILLE.A,20130814,2359,0.000,,35.6,15.6,,,0,0,,,29.4,28.3,,308,6.091,76.0,25.0
PORTERVILLE.A,20130815,2359,0.000,,35.6,15.6,,,0,0,,,29.4,22.8,,306,6.345,78.0,21.0
PORTERVILLE.A,20130816,2359,0.000,,35.6,16.7,,,0,0,,,26.1,24.4,,296,6.091,78.0,26.0
PORTERVILLE.A,20130817,2359,0.000,,35.6,17.8,,,0,0,,,27.2,25.6,,290,6.091,80.0,26.0
PORTERVILLE.A,20130818,2359,0.000,,35.0,17.2,,,0,0,,,27.2,26.1,,200,3.807,76.0,28.0
PORTERVILLE.A,20130819,2359,0.000,,38.3,20.0,,,0,0,,,27.8,26.7,,252,6.345,82.0,24.0
PORTERVILLE.A,20130820,2359,0.000,,37.2,21.1,,,0,0,,,28.3,27.2,,281,6.345,52.0,23.0
PORTERVILLE.A,20130821,2359,0.000,,35.6,18.3,,,0,0,,,28.3,27.2,,268,5.838,69.0,23.0
PORTERVILLE.A,20130822,2359,0.000,,35.0,15.6,,,0,0,,,28.3,27.2,,285,5.838,82.0,21.0
PORTERVILLE.A,20130823,2359,0.000,,33.3,15.6,,,0,0,,,28.3,27.2,,283,5.584,84.0,28.0
PORTERVILLE.A,20130824,2359,0.000,,33.9,15.0,,,0,0,,,28.3,27.2,,284,5.838,83.0,25.0
PORTERVILLE.A,20130825,2359,0.000,,32.8,14.4,,,0,0,,,27.8,26.7,,282,5.330,81.0,26.0
PORTERVILLE.A,20130826,2359,0.000,,32.8,13.9,,,0,0,,,27.8,26.7,,276,5.330,85.0,33.0
PORTERVILLE.A,20130827,2359,0.000,,34.4,16.1,,,0,0,,,27.8,26.7,,255,5.330,87.0,29.0
PORTERVILLE.A,20130828,2359,0.000,,35.0,20.6,,,0,0,,,27.8,27.2,,339,5.076,81.0,27.0
