"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station OXNARD.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          717            3            0           11            0        "
"                     OXNARD.A     CAMARILLO.A  OXNARD.C     OXNARD.C     "
"Air Temps, max/min     716            4            0           11            0        "
"                     OXNARD.A     CAMARILLO.A  OXNARD.C     OXNARD.C     "
"Soil Temps, max/min    675           40            0            0           16        "
"                     OXNARD.A     CAMARILLO.A  none         none         "
"Rel. Humidity          701            0            0            0           30        "
"                     OXNARD.A     none         none         none         "
"ETo                    717            0            0            0           14        "
"                     OXNARD.A     none         none         none         "
"Solar Radiation        707           10            0           14            0        "
"                     OXNARD.A     CAMARILLO.A  none         PIRU.A       "
"Wind Speed & Dir       709            0            0            0           22        "
"                     OXNARD.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
OXNARD.A,20130810,2359,0.000,,15.6,10.0,,,0,0,,,27.2,25.6,,256,3.807,93.0,75.0
OXNARD.A,20130811,2359,0.000,,15.0,11.1,,,0,0,,,27.2,25.6,,247,3.553,93.0,77.0
OXNARD.A,20130812,2359,0.000,,15.6,10.6,,,0,0,,,27.2,26.1,,247,3.553,94.0,79.0
OXNARD.A,20130813,2359,0.000,,15.0,10.0,,,0,0,,,27.2,25.6,,225,3.046,96.0,80.0
OXNARD.A,20130814,2359,0.000,,13.9,8.9,,,0,0,,,27.2,25.6,,182,2.284,97.0,84.0
OXNARD.A,20130815,2359,0.000,,14.4,8.3,,,0,0,,,27.2,25.6,,202,2.538,99.0,84.0
OXNARD.A,20130816,2359,0.000,,13.9,8.3,,,0,0,,,27.2,26.1,,237,3.046,99.0,83.0
OXNARD.A,20130817,2359,0.000,,13.3,8.9,,,0,0,,,27.2,26.1,,247,3.300,98.0,82.0
OXNARD.A,20130818,2359,0.000,,14.4,8.3,,,0,0,,,27.2,25.6,,260,3.553,97.0,76.0
OXNARD.A,20130819,2359,0.000,,14.4,8.9,,,0,0,,,27.2,26.1,,179,2.284,97.0,78.0
OXNARD.A,20130820,2359,0.000,,13.9,9.4,,,0,0,,,27.2,25.6,,228,3.046,95.0,77.0
OXNARD.A,20130821,2359,0.000,,15.0,8.3,,,0,0,,,26.7,25.0,,269,3.807,93.0,71.0
OXNARD.A,20130822,2359,0.000,,16.7,8.3,,,0,0,,,26.7,25.0,,284,4.061,93.0,65.0
OXNARD.A,20130823,2359,0.000,,16.1,7.8,,,0,0,,,26.7,25.0,,288,4.315,96.0,71.0
OXNARD.A,20130824,2359,0.508,,15.0,7.2,,,0,0,,,26.7,25.0,,279,3.807,96.0,75.0
OXNARD.A,20130825,2359,0.000,,14.4,7.2,,,0,0,,,26.7,25.0,,262,3.553,99.0,78.0
OXNARD.A,20130826,2359,0.000,,16.1,5.6,,,0,0,,,26.7,24.4,,273,3.807,95.0,66.0
OXNARD.A,20130827,2359,0.000,,15.0,10.0,,,0,0,,,27.2,25.6,,257,3.553,95.0,74.0
OXNARD.A,20130828,2359,0.000,,15.0,9.4,,,0,0,,,27.2,25.6,,268,3.807,96.0,75.0
OXNARD.A,20130829,2359,0.000,,16.7,9.4,,,0,0,,,27.2,25.6,,267,3.807,96.0,66.0
OXNARD.A,20130830,2359,0.000,,21.7,10.0,,,0,0,,,27.8,25.6,,247,3.807,95.0,41.0
OXNARD.A,20130831,2359,0.000,,22.2,15.0,,,0,0,,,28.3,26.7,,250,4.061,88.0,47.0
OXNARD.A,20130901,2359,0.000,,18.3,12.8,,,0,0,,,28.3,27.2,,168,2.284,95.0,75.0
OXNARD.A,20130902,2359,0.000,,17.2,11.7,,,0,0,,,27.8,26.7,,228,3.300,95.0,77.0
OXNARD.A,20130903,2359,0.000,,18.9,11.1,,,0,0,,,28.3,26.7,,250,3.807,95.0,70.0
OXNARD.A,20130904,2359,0.000,,17.8,11.7,,,0,0,,,28.3,26.7,,262,3.807,94.0,68.0
OXNARD.A,20130905,2359,0.000,,17.8,10.6,,,0,0,,,28.3,26.1,,262,3.807,95.0,67.0
OXNARD.A,20130906,2359,0.000,,18.3,10.0,,,0,0,,,28.3,26.1,,261,3.807,95.0,67.0
OXNARD.A,20130907,2359,0.000,,15.6,8.9,,,0,0,,,27.8,26.1,,246,3.300,96.0,77.0
