"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 82% of requested data were available from station Santa_Paula.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            0            0           11            0        "
"                     Santa_Paula.ûA            CAMARILLO.A  OXNARD.A     STAPAULA.C   "
"Air Temps, max/min     672           47            0           12            0        "
"                     Santa_Paula.ûA            CAMARILLO.A  OXNARD.C     STAPAULA.C   "
"Soil Temps, max/min    706           14            0           11            0        "
"                     Santa_Paula.ûA            CAMARILLO.A  none         PIRU.A       "
"Rel. Humidity          704            0            0            0           27        "
"                     Santa_Paula.ûA            none         none         none         "
"ETo                    720            0            0            0           11        "
"                     Santa_Paula.ûA            none         none         none         "
"Solar Radiation        699           17            0           15            0        "
"                     Santa_Paula.ûA            CAMARILLO.A  none         PIRU.A       "
"Wind Speed & Dir         0            0            0            0          731        "
"                     Santa_Paula.ûA            none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Santa_Paula.A,20130810,2359,0.000,,23.9,10.6,,,,,,,25.0,22.8,,292,5.076,92.0,57.0
Santa_Paula.A,20130811,2359,0.000,,24.4,12.2,,,,,,,25.0,22.8,,274,4.822,97.0,54.0
Santa_Paula.A,20130812,2359,0.000,,24.4,13.3,,,,,,,25.0,23.3,,280,4.822,97.0,59.0
Santa_Paula.A,20130813,2359,0.000,,24.4,12.8,,,,,,,25.0,23.3,,274,4.822,97.0,60.0
Santa_Paula.A,20130814,2359,0.000,,25.6,13.9,,,,,,,25.0,23.3,,280,4.822,97.0,58.0
Santa_Paula.A,20130815,2359,0.000,,25.6,13.9,,,,,,,25.6,23.3,,275,4.822,96.0,58.0
Santa_Paula.A,20130816,2359,0.000,,25.6,14.4,,,,,,,25.6,23.9,,265,4.822,97.0,55.0
Santa_Paula.A,20130817,2359,0.000,,26.1,13.3,,,,,,,25.6,23.9,,271,4.822,97.0,55.0
Santa_Paula.A,20130818,2359,0.000,,26.7,12.2,,,,,,,25.6,23.9,,287,5.076,97.0,51.0
Santa_Paula.A,20130819,2359,0.000,,25.0,15.0,,,,,,,25.6,23.9,,240,4.061,94.0,62.0
Santa_Paula.A,20130820,2359,0.000,,26.1,13.9,,,,,,,25.6,23.9,,233,4.061,96.0,54.0
Santa_Paula.A,20130821,2359,0.000,,25.6,11.1,,,,,,,25.0,23.3,,262,4.822,91.0,53.0
Santa_Paula.A,20130822,2359,0.000,,28.3,11.7,,,,,,,25.0,22.8,,287,5.330,89.0,39.0
Santa_Paula.A,20130823,2359,0.000,,28.3,10.0,,,,,,,25.0,22.8,,290,5.330,90.0,38.0
Santa_Paula.A,20130824,2359,0.000,,26.1,9.4,,,,,,,24.4,22.8,,284,5.076,91.0,51.0
Santa_Paula.A,20130825,2359,0.000,,27.2,8.3,,,,,,,24.4,22.2,,286,5.076,96.0,48.0
Santa_Paula.A,20130826,2359,0.000,,30.6,9.4,,,,,,,24.4,22.2,,273,5.584,87.0,31.0
Santa_Paula.A,20130827,2359,0.000,,28.9,17.8,,,,,,,25.0,23.3,,267,5.076,83.0,41.0
Santa_Paula.A,20130828,2359,0.000,,28.9,15.0,,,,,,,25.0,23.3,,271,5.076,87.0,37.0
Santa_Paula.A,20130829,2359,0.000,,31.7,13.9,,,,,,,25.0,23.3,,268,5.330,87.0,35.0
Santa_Paula.A,20130830,2359,0.000,,35.0,17.2,,,,,,,25.6,23.9,,251,5.330,83.0,32.0
Santa_Paula.A,20130831,2359,0.000,,32.2,20.0,,,,,,,26.1,24.4,,255,5.330,80.0,43.0
Santa_Paula.A,20130901,2359,0.000,,31.1,18.9,,,,,,,26.1,25.0,,218,4.315,89.0,55.0
Santa_Paula.A,20130902,2359,0.000,,29.4,17.2,,,,,,,26.1,25.0,,233,4.315,91.0,56.0
Santa_Paula.A,20130903,2359,0.000,,31.7,17.2,,,,,,,26.1,24.4,,233,4.569,90.0,46.0
Santa_Paula.A,20130904,2359,0.000,,30.0,16.1,,,,,,,26.1,24.4,,257,4.822,88.0,46.0
Santa_Paula.A,20130905,2359,0.000,,32.2,14.4,,,,,,,25.6,23.9,,258,5.076,90.0,37.0
Santa_Paula.A,20130906,2359,0.000,,32.8,16.7,,,,,,,25.6,23.9,,346,5.076,88.0,33.0
Santa_Paula.A,20130907,2359,0.000,,30.6,13.3,,,,,,,25.0,23.9,,255,4.822,86.0,38.0
Santa_Paula.A,20130908,2359,0.000,,26.7,14.4,,,,,,,25.0,23.9,,250,4.315,89.0,50.0
Santa_Paula.A,20130909,2359,0.000,,23.3,13.9,,,,,,,24.4,23.3,,222,3.553,96.0,63.0
Santa_Paula.A,20130910,2359,0.000,,22.8,15.0,,,,,,,24.4,20.6,,214,3.553,88.0,56.0
Santa_Paula.A,20130911,2359,0.000,,25.6,13.3,,,,,,,23.9,22.8,,275,3.553,92.0,58.0
Santa_Paula.A,20130912,2359,0.000,,27.8,11.7,,,,,,,23.9,22.2,,248,4.569,95.0,49.0
