"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station DAVIS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          721            7            0            3            0        "
"                     DAVIS.A      DAVIS.T      DAVIS.C      DAVIS.A      "
"Air Temps, max/min     720            7            0            4            0        "
"                     DAVIS.A      DAVIS.T      DAVIS.C      DAVIS.A      "
"Soil Temps, max/min    718            4            0            9            0        "
"                     DAVIS.A      DIXON.A      none         DAVIS.A      "
"Rel. Humidity          711            0            0            0           20        "
"                     DAVIS.A      none         none         none         "
"ETo                    721            0            0            0           10        "
"                     DAVIS.A      none         none         none         "
"Solar Radiation        700           13            0           18            0        "
"                     DAVIS.A      DIXON.A      none         DAVIS.A      "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.A,20130810,2359,0.000,,29.4,11.1,,,,,,,22.2,20.6,,309,5.584,91.0,41.0
DAVIS.A,20130811,2359,0.000,,31.1,11.7,,,,,,,22.2,21.1,,312,5.838,95.0,32.0
DAVIS.A,20130812,2359,0.000,,31.7,12.2,,,,,,,22.8,21.7,,316,6.091,91.0,20.0
DAVIS.A,20130813,2359,0.000,,34.4,10.6,,,,,,,22.8,21.7,,316,6.345,90.0,19.0
DAVIS.A,20130814,2359,0.000,,33.9,12.8,,,,,,,22.8,21.7,,317,6.345,84.0,26.0
DAVIS.A,20130815,2359,0.000,,35.6,14.4,,,,,,,22.8,21.1,,315,6.345,96.0,25.0
DAVIS.A,20130816,2359,0.000,,35.0,16.7,,,,,,,23.3,21.7,,303,6.345,93.0,30.0
DAVIS.A,20130817,2359,0.000,,33.9,15.6,,,,,,,23.3,22.2,,230,4.822,84.0,30.0
DAVIS.A,20130818,2359,0.000,,36.7,15.0,,,,,,,23.9,22.2,,279,5.838,87.0,30.0
DAVIS.A,20130819,2359,0.000,,39.4,20.6,,,,,,,23.9,23.3,,204,3.300,,
DAVIS.A,20130820,2359,0.000,,34.4,18.3,,,,,,,24.4,23.3,,272,6.091,72.0,35.0
DAVIS.A,20130821,2359,0.000,,32.8,15.6,,,,,,,24.4,23.3,,293,6.345,81.0,23.0
DAVIS.A,20130822,2359,0.000,,30.6,13.9,,,,,,,23.9,22.8,,298,6.091,84.0,32.0
DAVIS.A,20130823,2359,0.000,,31.7,10.6,,,,,,,22.8,20.6,,297,5.584,94.0,30.0
DAVIS.A,20130824,2359,0.000,,32.2,13.3,,,,,,,22.2,21.1,,292,6.091,86.0,31.0
DAVIS.A,20130825,2359,0.000,,29.4,17.2,,,,,,,22.8,21.7,,280,6.091,83.0,39.0
DAVIS.A,20130826,2359,0.000,,30.0,14.4,,,,,,,22.8,22.2,,294,5.584,89.0,34.0
DAVIS.A,20130827,2359,0.000,,33.3,11.7,,,,,,,22.8,22.2,,292,6.091,88.0,22.0
DAVIS.A,20130828,2359,0.000,,32.8,13.3,,,,,,,23.3,22.2,,292,5.838,88.0,27.0
DAVIS.A,20130829,2359,0.000,,32.8,15.6,,,,,,,23.3,22.2,,289,5.838,91.0,34.0
DAVIS.A,20130830,2359,0.000,,35.6,13.9,,,,,,,23.3,22.2,,287,5.838,92.0,26.0
DAVIS.A,20130831,2359,0.000,,34.4,13.9,,,,,,,23.3,22.8,,285,6.345,88.0,22.0
DAVIS.A,20130901,2359,0.000,,32.8,16.1,,,,,,,23.3,22.2,,219,5.330,76.0,26.0
DAVIS.A,20130902,2359,0.000,,30.6,18.3,,,,,,,22.8,21.7,,207,4.569,82.0,38.0
DAVIS.A,20130903,2359,0.000,,29.4,15.0,,,,,,,22.8,22.2,,279,5.838,84.0,30.0
DAVIS.A,20130904,2359,0.000,,30.0,16.1,,,,,,,22.8,21.7,,271,5.330,89.0,34.0
DAVIS.A,20130905,2359,0.000,,31.1,14.4,,,,,,,22.8,21.7,,278,5.584,85.0,28.0
