"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station Esparto.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            0            2            9            0        "
"                     Esparto.A    WINTERS.A    DAVIS.A      WINTERS.C    "
"Air Temps, max/min     681           33            8            9            0        "
"                     Esparto.A    WINTERS.A    DAVIS.A      WINTERS.C    "
"Soil Temps, max/min    692            0            0            0           39        "
"                     Esparto.A    none         none         none         "
"Rel. Humidity          697            0            0            0           34        "
"                     Esparto.A    none         none         none         "
"ETo                    720            0            0            0           11        "
"                     Esparto.A    none         none         none         "
"Solar Radiation        686           20            3           22            0        "
"                     Esparto.A    WINTERS.A    DAVIS.A      DAVIS.A      "
"Wind Speed & Dir       712            0            0            0           19        "
"                     Esparto.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Esparto.A,20130810,2359,0.000,,32.2,13.3,,,0,0,,,25.0,23.3,,293,5.584,89.0,31.0
Esparto.A,20130811,2359,0.000,,33.9,13.9,,,0,0,,,25.6,23.3,,294,5.838,92.0,28.0
Esparto.A,20130812,2359,0.000,,34.4,13.3,,,0,0,,,25.6,23.3,,298,5.838,92.0,23.0
Esparto.A,20130813,2359,0.000,,36.7,13.9,,,0,0,,,25.6,23.9,,301,6.345,,
Esparto.A,20130814,2359,0.000,,36.7,15.0,,,0,0,,,25.6,23.9,,299,6.345,84.0,19.0
Esparto.A,20130815,2359,0.000,,37.8,15.6,,,0,0,,,26.1,23.9,,296,6.091,89.0,20.0
Esparto.A,20130816,2359,0.000,,37.2,16.1,,,0,0,,,26.1,24.4,,293,6.091,94.0,26.0
Esparto.A,20130817,2359,0.000,,37.8,16.1,,,0,0,,,26.1,24.4,,204,4.315,85.0,22.0
Esparto.A,20130818,2359,0.000,,39.4,16.7,,,0,0,,,26.1,24.4,,263,5.838,90.0,23.0
Esparto.A,20130819,2359,0.000,,40.6,20.0,,,0,0,,,26.7,25.0,,196,4.569,,
Esparto.A,20130820,2359,0.000,,36.1,19.4,,,0,0,,,26.7,25.6,,258,5.584,80.0,33.0
Esparto.A,20130821,2359,0.000,,36.7,15.6,,,0,0,,,26.7,25.6,,278,6.091,89.0,15.0
Esparto.A,20130822,2359,0.000,,34.4,13.3,,,0,0,,,26.7,24.4,,287,5.838,93.0,22.0
Esparto.A,20130823,2359,0.000,,34.4,13.3,,,0,0,,,26.1,23.9,,282,5.584,87.0,24.0
Esparto.A,20130824,2359,0.000,,34.4,14.4,,,0,0,,,25.6,23.9,,271,5.838,90.0,25.0
Esparto.A,20130825,2359,0.000,,32.2,16.1,,,0,0,,,25.6,23.9,,270,5.838,84.0,28.0
Esparto.A,20130826,2359,0.000,,33.3,13.9,,,0,0,,,25.0,23.3,,279,5.330,86.0,25.0
Esparto.A,20130827,2359,0.000,,36.1,15.0,,,0,0,,,25.0,23.3,,279,5.838,86.0,16.0
Esparto.A,20130828,2359,0.000,,35.6,14.4,,,0,0,,,25.0,23.3,,275,5.584,87.0,23.0
Esparto.A,20130829,2359,0.000,,36.1,15.0,,,0,0,,,25.6,23.9,,274,5.838,91.0,20.0
