"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station BRWNSVLY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          721            0            0           10            0        "
"                     BRWNSVLY.A   YUBACITY.T   MARYSVLE.C   BRWNSVLY.A   "
"Air Temps, max/min     693            0            0           38            0        "
"                     BRWNSVLY.A   YUBACITY.T   MARYSVLE.C   BRWNSVLY.A   "
"Soil Temps, max/min    701            0            0           30            0        "
"                     BRWNSVLY.A   none         none         BRWNSVLY.A   "
"Rel. Humidity          713            0            0            0           18        "
"                     BRWNSVLY.A   none         none         none         "
"ETo                    721            0            0            0           10        "
"                     BRWNSVLY.A   none         none         none         "
"Solar Radiation        697            0            0           34            0        "
"                     BRWNSVLY.A   none         none         BRWNSVLY.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     BRWNSVLY.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BRWNSVLY.A,20130810,2359,0.000,,30.0,11.7,,,0,0,,,24.4,21.1,,302,5.584,86.0,32.0
BRWNSVLY.A,20130811,2359,0.000,,31.7,12.8,,,0,0,,,25.0,21.7,,304,6.091,87.0,27.0
BRWNSVLY.A,20130812,2359,0.000,,31.7,15.6,,,0,0,,,25.0,21.7,,295,6.091,75.0,23.0
BRWNSVLY.A,20130813,2359,0.000,,34.4,15.6,,,0,0,,,25.0,21.1,,308,6.599,64.0,19.0
BRWNSVLY.A,20130814,2359,0.000,,35.0,17.8,,,0,0,,,25.6,21.7,,305,6.853,49.0,17.0
BRWNSVLY.A,20130815,2359,0.000,,34.4,16.1,,,0,0,,,25.6,21.7,,302,6.599,58.0,26.0
BRWNSVLY.A,20130816,2359,0.000,,35.0,20.0,,,0,0,,,25.6,21.7,,298,6.599,46.0,24.0
BRWNSVLY.A,20130817,2359,0.000,,36.1,17.8,,,0,0,,,25.6,22.2,,278,6.091,62.0,25.0
BRWNSVLY.A,20130818,2359,0.000,,36.7,18.3,,,0,0,,,26.1,22.2,,270,6.091,64.0,32.0
BRWNSVLY.A,20130819,2359,0.000,,31.1,14.4,,,0,0,,,23.9,21.7,,274,2.792,47.0,32.0
BRWNSVLY.A,20130820,2359,0.000,,34.4,20.0,,,0,0,,,26.1,23.3,,248,5.330,79.0,37.0
BRWNSVLY.A,20130821,2359,0.000,,33.3,17.8,,,0,0,,,25.0,22.2,,268,5.330,79.0,27.0
BRWNSVLY.A,20130822,2359,0.000,,31.7,15.0,,,0,0,,,25.0,22.2,,283,5.838,77.0,25.0
BRWNSVLY.A,20130823,2359,0.000,,31.7,12.2,,,0,0,,,25.0,21.7,,288,5.584,87.0,28.0
BRWNSVLY.A,20130824,2359,0.000,,30.6,14.4,,,0,0,,,24.4,22.2,,273,5.838,69.0,31.0
BRWNSVLY.A,20130825,2359,0.000,,30.0,16.1,,,0,0,,,25.0,22.2,,253,5.076,72.0,39.0
BRWNSVLY.A,20130826,2359,0.000,,30.0,16.1,,,0,0,,,25.0,22.2,,283,5.330,81.0,28.0
BRWNSVLY.A,20130827,2359,0.000,,32.2,16.1,,,0,0,,,25.0,21.7,,277,5.584,67.0,28.0
BRWNSVLY.A,20130828,2359,0.000,,32.8,17.2,,,0,0,,,25.0,22.2,,272,5.838,60.0,18.0
BRWNSVLY.A,20130829,2359,0.000,,33.3,18.3,,,0,0,,,25.0,22.2,,279,6.091,56.0,21.0
BRWNSVLY.A,20130830,2359,0.000,,35.0,18.3,,,0,0,,,25.0,22.2,,284,6.091,50.0,22.0
BRWNSVLY.A,20130831,2359,0.000,,34.4,21.1,,,0,0,,,25.6,22.2,,274,6.345,40.0,23.0
BRWNSVLY.A,20130901,2359,0.000,,31.1,17.8,,,0,0,,,24.4,22.8,,166,4.315,58.0,31.0
BRWNSVLY.A,20130902,2359,0.508,,25.6,20.0,,,0,0,,,23.9,22.8,,92,1.777,86.0,45.0
BRWNSVLY.A,20130903,2359,0.000,,29.4,16.7,,,0,0,,,25.6,17.8,,263,4.822,94.0,39.0
BRWNSVLY.A,20130904,2359,0.000,,30.0,13.9,,,0,0,,,20.6,16.1,,263,4.822,89.0,33.0
BRWNSVLY.A,20130905,2359,0.000,,29.4,13.9,,,0,0,,,22.2,19.4,,270,5.076,81.0,20.0
BRWNSVLY.A,20130906,2359,0.000,,32.2,13.9,,,0,0,,,22.8,20.0,,270,5.584,61.0,26.0
BRWNSVLY.A,20130907,2359,0.000,,34.4,18.9,,,0,0,,,23.3,20.6,,261,5.838,53.0,25.0
BRWNSVLY.A,20130908,2359,0.000,,36.1,21.1,,,0,0,,,23.9,21.1,,263,6.091,45.0,20.0
BRWNSVLY.A,20130909,2359,0.000,,36.7,20.0,,,0,0,,,24.4,21.7,,248,6.091,44.0,26.0
BRWNSVLY.A,20130910,2359,0.000,,33.3,18.3,,,0,0,,,24.4,21.7,,253,5.584,56.0,31.0
BRWNSVLY.A,20130911,2359,0.000,,29.4,13.9,,,0,0,,,22.8,20.6,,241,2.792,83.0,53.0
BRWNSVLY.A,20130912,2359,0.000,,31.1,13.3,,,0,0,,,23.3,21.1,,240,4.315,95.0,36.0
BRWNSVLY.A,20130913,2359,0.000,,34.4,15.0,,,E,1,,,23.9,21.1,,239,4.315,86.7,36.6
BRWNSVLY.A,20130914,2359,0.000,,32.2,15.6,,,E,1,,,24.4,21.7,,240,4.822,85.0,39.0
BRWNSVLY.A,20130915,2359,0.000,,31.1,12.8,,,SE,2,,,23.3,21.1,,253,0.508,,
BRWNSVLY.A,20130916,2359,0.000,,30.0,13.9,,,E,1,,,23.3,20.6,,248,4.569,60.3,33.2
BRWNSVLY.A,20130917,2359,0.000,,26.1,15.6,,,0,0,,,22.8,21.1,,243,4.315,70.0,40.0
BRWNSVLY.A,20130918,2359,0.000,,28.3,11.7,,,0,0,,,22.2,20.0,,247,4.822,80.0,26.0
BRWNSVLY.A,20130919,2359,0.000,,31.7,15.0,,,0,0,,,22.2,18.3,,245,5.076,45.0,23.0
BRWNSVLY.A,20130920,2359,0.000,,27.8,18.3,,,0,0,,,19.4,16.1,,234,5.584,78.0,22.0
BRWNSVLY.A,20130921,2359,13.70,,18.9,12.8,,,0,0,,,19.4,18.9,,52,0.508,98.0,73.0
BRWNSVLY.A,20130922,2359,0.000,,22.2,9.4,,,0,0,,,20.0,17.8,,232,3.553,96.0,48.0
BRWNSVLY.A,20130923,2359,0.000,,27.2,12.2,,,0,0,,,20.6,18.3,,234,4.061,84.0,40.0
BRWNSVLY.A,20130924,2359,0.000,,25.6,14.4,,,0,0,,,21.1,19.4,,224,4.315,77.0,40.0
BRWNSVLY.A,20130925,2359,0.000,,21.1,8.9,,,0,0,,,20.0,18.3,,232,3.807,98.0,29.0
BRWNSVLY.A,20130926,2359,0.000,,22.8,8.9,,,0,0,,,19.4,17.8,,233,4.569,59.0,30.0
BRWNSVLY.A,20130927,2359,0.000,,24.4,7.8,,,0,0,,,19.4,17.2,,229,4.061,61.0,30.0
BRWNSVLY.A,20130928,2359,0.000,,27.8,14.4,,,0,0,,,20.0,17.8,,212,4.569,56.0,22.0
BRWNSVLY.A,20130929,2359,0.000,,25.0,14.4,,,0,0,,,20.0,18.3,,155,3.046,80.0,45.0
BRWNSVLY.A,20130930,2359,0.000,,25.0,16.7,,,0,0,,,20.0,18.9,,108,1.777,84.0,59.0
BRWNSVLY.A,20131001,2359,0.000,,24.4,13.9,,,0,0,,,20.6,18.9,,211,3.300,96.0,49.0
BRWNSVLY.A,20131002,2359,0.000,,25.6,10.0,,,0,0,,,20.0,18.3,,212,3.807,81.0,28.0
BRWNSVLY.A,20131003,2359,0.000,,25.0,5.0,,,0,0,,,18.9,17.2,,220,4.822,85.0,14.0
BRWNSVLY.A,20131004,2359,0.000,,28.3,16.1,,,0,0,,,18.9,17.2,,219,5.838,24.0,11.0
BRWNSVLY.A,20131005,2359,0.000,,27.2,14.4,,,0,0,,,19.4,16.7,,217,4.569,34.0,15.0
BRWNSVLY.A,20131006,2359,0.000,,29.4,12.8,,,0,0,,,19.4,17.2,,188,4.061,42.0,18.0
BRWNSVLY.A,20131007,2359,0.000,,28.3,14.4,,,0,0,,,19.4,17.2,,194,4.315,37.0,18.0
BRWNSVLY.A,20131008,2359,0.000,,23.9,10.6,,,0,0,,,18.3,15.6,,170,3.046,55.0,30.0
BRWNSVLY.A,20131009,2359,0.000,,23.9,7.8,,,0,0,,,16.1,14.4,,153,3.300,72.0,29.0
BRWNSVLY.A,20131010,2359,0.000,,22.2,10.0,,,0,0,,,17.2,15.6,,182,3.046,66.0,39.0
BRWNSVLY.A,20131011,2359,0.000,,23.3,11.1,,,0,0,,,17.8,16.1,,191,3.300,67.0,37.0
BRWNSVLY.A,20131012,2359,3.300,,23.9,11.1,,,0,0,,,17.8,16.1,,186,3.300,76.0,34.0
BRWNSVLY.A,20131013,2359,0.000,,23.3,7.2,,,0,0,,,17.2,16.1,,193,3.300,94.0,35.0
BRWNSVLY.A,20131014,2359,0.000,,23.9,8.9,,,0,0,,,17.2,15.6,,194,3.553,54.0,31.0
BRWNSVLY.A,20131015,2359,0.000,,28.9,12.8,,,0,0,,,17.2,15.0,,274,4.315,56.0,15.0
BRWNSVLY.A,20131016,2359,0.000,,27.2,13.3,,,0,0,,,17.8,16.1,,188,3.807,47.0,23.0
BRWNSVLY.A,20131017,2359,0.000,,25.6,12.2,,,0,0,,,17.8,16.1,,187,3.553,48.0,25.0
BRWNSVLY.A,20131018,2359,0.000,,27.8,12.8,,,0,0,,,17.8,15.6,,187,3.553,47.0,25.0
BRWNSVLY.A,20131019,2359,0.000,,28.3,13.3,,,0,0,,,17.8,16.1,,185,3.553,47.0,23.0
BRWNSVLY.A,20131020,2359,0.000,,27.8,12.8,,,0,0,,,17.8,16.1,,181,3.300,50.0,29.0
BRWNSVLY.A,20131021,2359,0.000,,27.2,11.7,,,0,0,,,17.8,16.1,,178,3.300,55.0,29.0
BRWNSVLY.A,20131022,2359,0.000,,28.3,12.8,,,0,0,,,17.8,16.1,,178,3.300,45.0,24.0
BRWNSVLY.A,20131023,2359,0.000,,27.8,12.2,,,0,0,,,17.8,15.6,,175,3.553,40.0,22.0
BRWNSVLY.A,20131024,2359,0.000,,26.1,8.3,,,0,0,,,17.2,15.6,,172,2.792,67.0,30.0
BRWNSVLY.A,20131025,2359,0.000,,23.9,7.2,,,0,0,,,16.7,15.0,,167,2.538,78.0,35.0
BRWNSVLY.A,20131026,2359,0.000,,26.1,11.7,,,0,0,,,17.2,15.0,,166,3.046,58.0,30.0
BRWNSVLY.A,20131027,2359,3.300,,23.9,7.2,,,0,0,,,16.7,15.0,,164,3.300,88.0,30.0
BRWNSVLY.A,20131028,2359,0.000,,13.9,6.7,,,0,0,,,16.1,15.0,,65,1.015,95.0,62.0
BRWNSVLY.A,20131029,2359,0.000,,14.4,7.8,,,0,0,,,15.6,15.0,,45,0.508,89.0,67.0
BRWNSVLY.A,20131030,2359,0.000,,18.9,6.7,,,0,0,,,15.6,13.9,,157,2.031,86.0,44.0
BRWNSVLY.A,20131031,2359,0.000,,21.1,7.8,,,0,0,,,15.6,13.9,,157,2.284,79.0,42.0
